RISP;AISP;BPM;DP;Município;Unidade Territorial
1;19;19ºBPM;12a (DP Legal);Rio de Janeiro;Copacabana (Parte) e Leme
1;19;19ºBPM;13a (DP Legal);Rio de Janeiro;Copacabana (Parte)
3;20;20ºBPM;52a (DP Legal);Nova Iguaçu;Centro
3;20;20ºBPM;56a (DP Legal);Nova Iguaçu;Comendador Soares, Cabuçú e Km32
3;20;20ºBPM;58a (DP Legal);Nova Iguaçu;Posse, Austin, Miguel Couto, Vila de Cava e Tinguá
3;20;20ºBPM;53a (DP Legal);Mesquita;Mesquita, Chatuba e Banco de Areia
3;20;20ºBPM;57a (DP Legal);Nilópolis;Nilópolis e Olinda
3;21;21ºBPM;64a (DP Legal);São João de Meriti;São João de Meriti, Coelho da Rocha e São Mateus
1;22;22ºBPM;21a (DP Legal);Rio de Janeiro;Benfica, Bonsucesso, Higienópolis, Manguinhos, Maré e Ramos
1;23;23ºBPM;11a (DP Legal);Rio de Janeiro;Rocinha
1;23;23ºBPM;14a (DP Legal);Rio de Janeiro;Ipanema e Leblon
1;23;23ºBPM;15a (DP Legal);Rio de Janeiro;Gávea, Jardim Botânico, Lagoa, São Conrado e Vidigal
3;24;24ºBPM;48a (DP Legal);Seropédica;Seropédica
3;24;24ºBPM;50a (DP Legal);Itaguaí;Itaguaí e Ibituporanga
3;24;24ºBPM;51a (DP Legal);Paracambi;Paracambi
3;24;24ºBPM;55a (DP Legal);Queimados;Centro, Norte, Sul. Leste, Oeste e Nordeste
3;24;24ºBPM;63a (DP Legal);Japeri;Japeri, Engenheiro Pedreira, Marajoara, Pedra Lisa e Rio D`Ouro
4;25;25ºBPM;118a (DP Legal);Araruama;Araruama, Morro Grande e São Vicente de Paula
4;25;25ºBPM;124a (DP Legal);Saquarema;Saquarema, Bacaxá e Sampaio Correia
4;25;25ºBPM;125a (DP Legal);"São Pedro da
Aldeia";São Pedro da Aldeia
4;25;25ºBPM;126a (DP Legal);Cabo Frio;Cabo Frio e Tamoios
4;25;25ºBPM;127a (DP Legal);"Armação dos
Búzios";Armação dos Búzios
4;25;25ºBPM;129a (DP Legal);Iguaba Grande;Iguaba Grande
4;25;25ºBPM;132a (DP Legal);Arraial do Cabo;Arraial do Cabo
7;26;26ºBPM;105a (DP Legal);Petrópolis;Petrópolis e Cascatinha
7;26;26ºBPM;106a (DP Legal);Petrópolis;Itaipava, Pedro do Rio e Posse
2;27;27ºBPM;36a (DP Legal);Rio de Janeiro;Paciência e Santa Cruz
2;27;27ºBPM;43a (DP Legal);Rio de Janeiro;Guaratiba, Pedra de Guaratiba e Sepetiba
5;28;28ºBPM;90a (DP Legal);Barra Mansa;Antonio Rocha, Floriano, Nossa Senhora do Amparo, Rialto e Regiões Administrativas I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII, XIII, XIV
5;28;28ºBPM;93a (DP Legal);Volta Redonda;Volta Redonda
5;28;28ºBPM;101a (DP Legal);Pinheiral;Pinheiral
6;29;29ºBPM;138a (DP Legal);Laje do Muriaé;Laje do Muriaé
6;29;29ºBPM;139a (DP Legal);Porciúncula;Porciúncula, Purilândia e Santa Clara
6;29;29ºBPM;140a (DP Legal);Natividade;Natividade, Ourania e Bom Jesus do Querendo
6;29;29ºBPM;140a (DP Legal);Varre-Sai;Varre-Sai
6;29;29ºBPM;143a (DP Legal);Itaperuna;Itaperuna, Boaventura, Nossa Senhora da Penha, Itajara, Retiro do Muriaé, Raposo e Comendador Venâncio
6;29;29ºBPM;143a (DP Legal);São José de Ubá;São José de Ubá
6;29;29ºBPM;144a (DP Legal);Bom Jesus de Itabapoana;Bom Jesus de Itabapoana, Carabuçú, Calheiros, Pirapetinga de Bom Jesus, Rosal e Serrinha
6;29;29ºBPM;148a (DP Legal);Cardoso Moreira;Cardoso Moreira e São Joaquim
6;29;29ºBPM;148a (DP Legal);Italva;Italva
7;30;30ºBPM;104a (DP Legal);São José do Vale do Rio Preto;São José do Vale do Rio Preto
7;30;30ºBPM;110a (DP Legal);Teresópolis;Teresópolis, Vale do Bonsucesso e Vale do Paquequer
7;30;30ºBPM;111a (DP Legal);Sumidouro;Sumidouro
7;30;30ºBPM;112a (DP Legal);Carmo;Carmo, Córrego da Prata e Porto Velho do Cunha
2;31;31ºBPM;16a (DP Legal);Rio de Janeiro;Barra da Tijuca, Itanhangá, Joá
2;31;31ºBPM;42a (DP Legal);Rio de Janeiro;Recreio dos Bandeirantes, Barra de Guaratiba, Camorim, Grumari, Vargem Grande e Vargem Pequena
6;32;32ºBPM;121a (DP Legal);Casimiro de Abreu;Casimiro de Abreu, Professor Souza, Barra de São João e Rio Dourado
6;32;32ºBPM;122a (DP Legal);Conceição de Macabú;Conceição de Macabú e Macabuzinho
6;32;32ºBPM;123a (DP Legal);Macaé;Centro, Cabiúnas, Barra de Macaé, Aeroporto e Imboassica
6;32;32ºBPM;128a (DP Legal);Rio das Ostras;Rio das Ostras
6;32;32ºBPM;130a (DP Legal);Quissamã;Quissamã
6;32;32ºBPM;130a (DP Legal);Carapebus;Centro, UB-S, Rodagem, Carapebus e Praia de Carapebus
5;33;33ºBPM;165a (DP Legal);Mangaratiba;Mangaratiba, Conceição de Jacareí, Vila Muriquí, Itacuruçá
5;33;33ºBPM;166a (DP Legal);Angra dos Reis;Angra dos Reis, Jacuecanga, Cunhambebe, Mambucaba, Abraão e Praia de Araçatiba
5;33;33ºBPM;167a (DP Legal);Paraty;Parati, Parati-Mirim e Tarituba
5;33;33ºBPM;168a (DP Legal);Rio Claro;Rio Claro, Getulândia, Lídice, Passa Três e São João Marcos
3;34;34ºBPM;65a (DP Legal);Magé;Magé, Santo Aleixo e Suruí
3;34;34ºBPM;66a (DP Legal);Magé;Inhomirim e Guia de Copaíba
3;34;34ºBPM;67a (DP Legal);Guapimirim;Guapimirim
4;35;35ºBPM;71a (DP Legal);Itaboraí;Itaboraí, Cabuçú, Itambí, Porto das Caixas e Sambaetiba
4;35;35ºBPM;70a (DP Legal);Tanguá;Tanguá
4;35;35ºBPM;119a (DP Legal);Rio Bonito;Rio Bonito e Boa Esperança
4;35;35ºBPM;120a (DP Legal);Silva Jardim;Silva Jardim, Aldeia Velha, Correntezas e Gaviões
4;35;35ºBPM;159a (DP Legal);Cachoeiras de Macacu;Cachoeiras de Macacu, Japuíba e Subaio
6;36;36ºBPM;135a (DP Legal);Itaocara;Itaocara, Portela, Batatal, Laranjais, Jaguarembe e Estrada Nova
6;36;36ºBPM;136a (DP Legal);Santo Antônio de Pádua;Santo Antônio de Pádua, Campelo, Paraoquena, Monte Alegre, Ibitiguaçú, Santa Cruz, Baltazar, Marangatú e São Pedro de Alcântara
6;36;36ºBPM;136a (DP Legal);Aperibé;Aperibé
6;36;36ºBPM;137a (DP Legal);Miracema;Miracema, Venda das Flores e Paraíso do Tobias
6;36;36ºBPM;142a (DP Legal);Cambuci;Cambuci, Três Irmãos, Funil, Monte Verde e São João do Paraíso
6;36;36ºBPM;155a (DP Legal);São Sebastião do Alto;São Sebastião do Alto, Valão do Barro e Ipituna
5;37;37ºBPM;89a (DP Legal);Resende;Resende, Engenheiro Passos, Agulhas Negras, Pedra Selada e Fumaça
5;37;37ºBPM;99a (DP Legal);Itatiaia;Itatiaia
5;37;37ºBPM;100a (DP Legal);Porto Real;Porto Real
5;37;37ºBPM;101a (DP Legal);Quatis;Quatis, Falcão e Ribeirão de São Joaquim
7;38;38ºBPM;107a (DP Legal);Paraíba do Sul;Paraíba do Sul, Werneck, Salutaris e Inconfi dência
7;38;38ºBPM;108a (DP Legal);Comendador Levy Gasparian;Comendador Levy Gasparian e Afonso Arinos
7;38;38ºBPM;108a (DP Legal);Areal;Areal
7;38;38ºBPM;108a (DP Legal);Três Rios;Três Rios
7;38;38ºBPM;109a (DP Legal);Sapucaia;Sapucaia, Anta, Pião, Nossa Senhora Aparecida e Jamapara
3;39;39ºBPM;54a (DP Legal);Belford Roxo;Areia Branca, Jardim Redentor, Parque São José, Nova Aurora e Lote XV
2;40;40ºBPM;35a (DP Legal);Rio de Janeiro;Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos
2;41;41ºBPM;27a (DP Legal);Rio de Janeiro;Colégio (Parte), Irajá, Vicente de Carvalho, Vila Kosmos, Vila da Penha e Vista Alegre
2;41;41ºBPM;31a (DP Legal);Rio de Janeiro;Anchieta, Guadalupe, Parque Anchieta e Ricardo de Albuquerque
2;41;41ºBPM;39a (DP Legal);Rio de Janeiro;Acari, Barros Filho, Costa Barros, Parque Colúmbia e Pavuna
