Ano;Espécie;Mês de Data;Número de registros
2014;Garruchão;outubro;1
2014;Garruchão;setembro;1
2014;Garruchão;agosto;4
2014;Garruchão;junho;2
2014;Garruchão;maio;1
2014;Garruchão;abril;2
2014;Garruchão;março;2
2014;Garruchão;fevereiro;1
2014;Garruchão;janeiro;1
2014;Garrucha;dezembro;9
2014;Garrucha;novembro;7
2014;Garrucha;outubro;16
2014;Garrucha;setembro;16
2014;Garrucha;agosto;17
2014;Garrucha;julho;6
2014;Garrucha;junho;16
2014;Garrucha;maio;12
2014;Garrucha;abril;15
2014;Garrucha;março;18
2014;Garrucha;fevereiro;13
2014;Garrucha;janeiro;13
2014;Fuzil;dezembro;19
2014;Fuzil;novembro;32
2014;Fuzil;outubro;42
2014;Fuzil;setembro;9
2014;Fuzil;agosto;19
2014;Fuzil;julho;22
2014;Fuzil;junho;21
2014;Fuzil;maio;27
2014;Fuzil;abril;19
2014;Fuzil;março;22
2014;Fuzil;fevereiro;26
2014;Fuzil;janeiro;21
2014;Espingarda;dezembro;42
2014;Espingarda;novembro;62
2014;Espingarda;outubro;63
2014;Espingarda;setembro;87
2014;Espingarda;agosto;58
2014;Espingarda;julho;65
2014;Espingarda;junho;88
2014;Espingarda;maio;62
2014;Espingarda;abril;59
2014;Espingarda;março;54
2014;Espingarda;fevereiro;67
2014;Espingarda;janeiro;70
2014;Carabina;dezembro;2
2014;Carabina;novembro;12
2014;Carabina;outubro;2
2014;Carabina;setembro;9
2014;Carabina;agosto;7
2014;Carabina;julho;7
2014;Carabina;junho;8
2014;Carabina;maio;5
2014;Carabina;abril;6
2014;Carabina;março;6
2014;Carabina;fevereiro;16
2014;Carabina;janeiro;5
2014;Arma de Fabricação Caseira;dezembro;3
2014;Arma de Fabricação Caseira;novembro;7
2014;Arma de Fabricação Caseira;outubro;11
2014;Arma de Fabricação Caseira;setembro;6
2014;Arma de Fabricação Caseira;agosto;3
2014;Arma de Fabricação Caseira;julho;6
2014;Arma de Fabricação Caseira;junho;4
2014;Arma de Fabricação Caseira;maio;4
2014;Arma de Fabricação Caseira;abril;19
2014;Arma de Fabricação Caseira;março;5
2014;Arma de Fabricação Caseira;fevereiro;15
2014;Arma de Fabricação Caseira;janeiro;8
2015;Submetralhadora;dezembro;1
2015;Submetralhadora;novembro;4
2015;Submetralhadora;outubro;1
2015;Submetralhadora;agosto;2
