AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
7;074a. Alcantara; 2; 5; 9; 5; 3; 4; - ; 2; 3; 4; 5; 4 
7;075a. Rio do Ouro; 2; 2; 3; 3; 4; 4; 2; 3; 5; 2; 2; 1 
12;076a. Niterói - Centro; 1; - ; 2; 1; 1; - ; - ; 1; - ; - ; 2; -   
12;077a. Icaraí; - ; 1; - ; - ; 1; 1; - ; - ; - ; - ; - ; -   
12;078a. Fonseca; 4; 1; 4; 5; 2; - ; - ; 1; 2; - ; 1; -   
12;079a. Jurujuba; 1; - ; - ; - ; - ; - ; - ; - ; - ; 1; 1; -   
12;081a. Itaipú; 1; 1; - ; 1; - ; 1; - ; - ; 1; 2; - ; -   
12;082a. maricá; 9; 3; 7; 1; 3; 1; 3; 3; 2; 2; 4; 3 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; 1; 2; - ; 6; 1; - ; 5; - ; - ; - ; 1 
37;089a. Resende; 1; 2; - ; 2; 1; - ; 3; - ; 1; 1; - ; -   
28;090a. Barra Mansa; - ; - ; - ; 1; - ; 1; - ; - ; 3; 1; - ; -   
10;091a. Valença; 3; - ; 3; 1; 4; - ; - ; - ; - ; - ; 2; -   
10;092a. Rio das Flores; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a. Volta Redonda; 1; 2; 3; 1; - ; 2; - ; 1; 2; 1; - ; -   
10;094a. Piraí; - ; - ; 1; - ; - ; 2; 5; 4; 3; 1; - ; -   
10;095a. Vassouras; - ; 3; 1; 1; - ; 3; 2; 1; 1; 5; 2; 1 
10;096a. Miguel Pereira; 2; - ; 1; 1; - ; 3; 1; 1; - ; - ; 1; 1 
10;097a. Mendes; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
37;099a. Itatiaia; - ; - ; 1; 1; 2; 1; 1; - ; 1; - ; 1; 1 
37;100a. Porto Real; 1; - ; 1; 1; - ; - ; 2; - ; - ; 1; - ; 1 
28;101a. Pinheiral; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;104a. São J. Rio Preto; - ; - ; 1; - ; - ; - ; - ; 1; - ; - ; - ; -   
26;105a. Petrópolis; 1; - ; 1; 2; 3; 4; 2; 2; 1; 1; - ; 1 
26;106a. Itaipava; 1; 2; - ; - ; 2; 1; 4; - ; 1; - ; 2; 1 
38;107a. Paraíba do Sul; - ; - ; 4; 1; - ; - ; - ; 1; - ; 1; - ; 4 
38;108a. Três Rios; 2; 2; 2; 1; 2; 1; - ; 6; 2; 1; 1; 1 
38;109a. Sapucaia; - ; 1; 2; - ; 4; 3; 1; - ; 1; 1; 2; 1 
30;110a. Teresópolis; 2; 4; 1; 3; 3; 4; 2; 7; 3; 8; 7; 1 
30;111a. Sumidouro; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; -   
30;112a. Carmo; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; -   
25;118a. Araruama; 1; 4; 6; 3; 1; 2; - ; 1; - ; 3; 6; 3 
35;119a. Rio Bonito; 9; 5; 7; 3; 2; 1; 6; 1; 1; 5; 4; -   
35;120a. Silva Jardim; 3; 4; 3; 3; 5; 5; - ; 3; 1; 3; 2; 2 
32;121a. Casimiro de abreu; 4; - ; 1; 1; - ; - ; 2; 1; - ; 11; 1; 2 
32;122a. Conceição de Macabú; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
32;123a. Macaé; 4; 4; 4; 8; 2; 6; 7; 4; 1; 2; 1; 12 
25;124a. Saquarema; 6; 1; 5; 5; 2; 1; 2; 2; 5; - ; 2; -   
25;125a. São Pedro da Aldeia; 5; 1; 2; 1; 1; 4; - ; 6; 1; - ; 1; 6 
25;126a. Cabo Frio; 4; - ; - ; - ; 5; - ; - ; 2; 3; 3; 2; 1 
25;127a. Búzios; - ; - ; - ; 1; - ; 1; - ; - ; - ; - ; 1; 2 
32;128a. Rio das Ostras; 1; 1; 4; 1; 6; 3; 3; 2; 1; - ; 1; 3 
25;129a. Iguaba; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
32;130a. Quissamã; - ; - ; 3; 1; - ; - ; 4; 2; - ; 1; 1; 1 
25;132a. Arraial do Cabo; - ; - ; 2; - ; - ; 1; - ; - ; 1; 1; - ; -   
8;134a. Campos; 6; 5; 6; 3; 2; 7; 10; 7; 9; 11; 1; 6 
36;135a. Itaocara; 1; 1; - ; - ; - ; 1; - ; - ; - ; 1; - ; -   
36;136a. Santo Antônio de Pádua; - ; 3; - ; 2; 2; 1; 4; - ; 3; 1; - ; 1 
36;137a. Miracema; 1; - ; - ; - ; - ; 2; 2; 1; - ; - ; 1; 1 
29;138a. Lajes de Muriaré; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;139a. Porciúncula; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;140a. Natividade; - ; - ; - ; - ; - ; - ; 2; 2; - ; - ; - ; -   
8;141a. São Fidelis; - ; - ; 3; - ; 1; - ; - ; - ; - ; 1; - ; -   
36;142a. Cambucí; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; -   
29;143a. Itaperuna; - ; - ; 4; 4; 3; 5; - ; 2; 1; 1; 2; 2 
29;144a. Bom Jesus do Itabapoana; - ; - ; - ; - ; 1; - ; - ; 1; - ; - ; - ; -   
8;145a. São João da Barra; 3; 1; - ; 2; - ; 2; 1; - ; - ; 2; 1; 2 
8;146a. Guarus; - ; 1; 7; 10; 3; - ; 6; 6; 2; - ; 1; 3 
8;147a. São Francisco de Itabapoana; - ; 2; 5; 2; - ; - ; - ; 2; 1; 2; - ; 2 
29;148a. Italva; - ; 1; - ; 3; - ; 2; 1; - ; - ; - ; - ; 1 
11;151a. nova Friburgo; 6; - ; 1; 3; 3; - ; 1; 3; 3; 4; - ; 1 
11;152a. Duas Barras; - ; - ; 2; - ; - ; - ; 1; - ; - ; - ; - ; -   
11;153a. Cantagalo; - ; 2; - ; - ; - ; 1; - ; - ; - ; - ; 2; -   
11;154a. Cordeiro; - ; - ; - ; 1; - ; - ; - ; - ; 3; - ; - ; -   
36;155a. São Sebastião do Alto; - ; 2; - ; - ; 2; - ; 1; - ; - ; 2; - ; -   
11;156a. Santa maria Madalena; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;157a. Trajano de Morais; 2; - ; - ; - ; - ; 3; - ; - ; - ; - ; - ; 2 
11;158a. Bom Jardim; - ; 1; 1; - ; - ; 1; - ; 1; - ; - ; - ; -   
35;159a. Cachoeira de Macacú; 1; 5; 1; - ; 1; 2; - ; - ; 1; 1; 1; 2 
33;165a. Mangaratiba; - ; - ; 3; - ; - ; - ; 2; - ; 3; - ; - ; 4 
33;166a. Angra dos Reis; 4; 1; - ; 5; 4; 2; 1; 1; 3; 3; 4; 3 
33;167a. Paraty; 2; 1; 4; - ; 1; 2; 2; 3; - ; - ; - ; 1 
33;168a. Rio Claro; - ; 1; - ; - ; - ; 3; - ; - ; - ; - ; - ; -   
