AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
5;004a. Praça da República; - ; - ; - ; 2; - ; 2; 1; - ; 2; 1; 3; 4 
5;005a. Mem de Sá; - ; - ; 1; - ; - ; - ; - ; 1; - ; 2; 1; 2 
4;006a. Cidade nova; 1; 1; 1; 3; 1; 1; 1; - ; 1; 3; 1; -   
5;007a. Santa Tereza; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
2;009a. Catete; 1; - ; - ; - ; - ; 2; 1; - ; 4; 1; 1; 1 
2;010a. Botafogo; 1; 1; - ; 1; - ; 2; - ; 1; 1; - ; 1; 1 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; - ; - ; - ; 1; - ; - ; - ; - ; 1; 1; 1; 1 
19;013a. Ipanema; - ; - ; - ; - ; 1; - ; - ; - ; 1; - ; 1; -   
23;014a. Leblon; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; 1; -   
23;015a. Gávea; 1; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
31;016a. Barra da Tijuca; 1; 1; 6; 2; 2; 2; 3; 2; 3; 3; 1; 3 
4;017a. São Cristóvão; 4; - ; - ; - ; - ; 4; 1; 4; 1; 5; 1; 2 
4;018a. Praça da Bandeira; 1; 2; - ; - ; 1; - ; 1; 1; 1; - ; - ; -   
6;019a. Tijuca; - ; - ; - ; 1; - ; 1; - ; 1; 2; - ; - ; 1 
6;020a. Grajaú; - ; - ; - ; - ; - ; - ; 1; 3; 1; - ; - ; 1 
22;021a. Bonsucesso; 1; 3; 2; 5; 5; 7; - ; 3; 9; 1; 3; 6 
16;022a. Penha; 1; - ; 2; - ; 1; - ; 5; 1; 2; 4; - ; 3 
3;023a. Meier; - ; - ; - ; 1; 1; - ; - ; - ; 6; - ; - ; -   
3;024a. Piedade; - ; 1; - ; 1; 1; - ; 1; - ; 2; 1; - ; 2 
3;025a. Engenho novo; 1; - ; 1; 2; 1; 1; - ; - ; - ; - ; 2; -   
3;026a. Todos os Santos; - ; - ; 2; - ; 1; - ; 1; 1; 4; 1; - ; -   
41;027a. Vicente de Carvalho; 2; 2; 3; 1; - ; - ; - ; 2; 3; - ; - ; 1 
9;028a. Campinho; 1; - ; 1; - ; - ; 3; 1; 3; 1; - ; 1; -   
9;029a. Madureira; - ; - ; 1; - ; 1; - ; 4; 2; 3; - ; - ; -   
9;030a. marechal Hermes; 1; 2; - ; 1; - ; 4; - ; - ; - ; 1; 2; -   
41;031a. Ricardo Albuquerque; 2; 1; 1; - ; 4; - ; 1; 1; - ; 1; - ; 1 
18;032a. Taquara; 1; 1; 1; 1; 4; 2; 3; 2; 3; 2; 1; 4 
14;033a. Realengo; 3; 2; 1; 1; 3; 1; 4; 1; 1; - ; 1; 3 
14;034a. Bangu; 1; 1; 2; 1; 4; 5; 4; 6; 7; 3; - ; 6 
40;035a. Campo Grande; 2; 2; 4; 4; 4; 7; 4; 5; 5; 6; 6; 2 
27;036a. Santa Cruz; 5; 1; 2; 3; 5; 1; 4; 2; 2; 4; 4; 1 
17;037a. Ilha do Governador; - ; 1; 1; 1; - ; 1; 1; 4; 2; 2; 1; -   
16;038a. Braz de Pina; - ; 4; - ; 2; 1; 1; - ; 4; 3; - ; 2; 2 
41;039a. Pavuna; 2; 1; 2; - ; 1; 3; 1; 3; 2; - ; 2; 1 
9;040a. Honório Gurgel; 3; - ; 3; 2; 1; - ; 2; - ; 1; 1; - ; 1 
18;041a. Tanque; - ; 1; - ; 2; - ; 1; - ; - ; - ; 2; 2; 4 
31;042a. Recreio; - ; 3; 3; 1; - ; 1; - ; 1; 1; - ; 1; 3 
27;043a. Pedra de Guaratiba; 1; 2; 1; 3; 2; 2; 1; 1; 1; 4; 3; 3 
3;044a. Inhaúma; - ; - ; 1; - ; 1; 1; - ; 1; 1; 4; 1; 1 
16;045a. Alemão; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
24;048a. Seropédica; 2; 5; 3; - ; 1; - ; - ; 3; - ; 2; 5; -   
24;050a. Itaguaí; 2; 6; 3; 3; 2; 3; 1; 10; 1; 2; 5; 1 
24;051a. Paracambí; - ; - ; 1; - ; 1; - ; - ; - ; - ; 1; 1; -   
20;052a. nova Iguaçu; - ; 1; - ; - ; 1; 4; 1; - ; 4; 1; - ; -   
20;053a. Mesquita; - ; 2; - ; - ; - ; 1; 4; - ; 2; - ; 2; -   
39;054a. Belford Roxo; 1; 1; 2; 2; 4; - ; 4; 2; 1; 1; 1; 1 
24;055a. Queimados; - ; - ; 2; 2; 1; - ; 1; 1; 2; 2; - ; 4 
20;056a. Comendador Soares; 2; 2; 3; - ; 2; 3; 5; 2; 9; 4; 1; 4 
20;057a. Nilópolis; - ; 1; - ; - ; 1; - ; - ; 1; - ; 1; - ; -   
20;058a. Posse; 3; 2; 2; 4; 2; 7; 3; 2; 1; 7; 3; 2 
15;059a. Duque de Caxias; 6; - ; 1; 1; 1; 1; 4; 2; 2; 2; 2; 3 
15;060a. Campos Elíseos; 9; 5; 2; 2; 1; 1; 2; 3; 2; 5; 3; 14 
15;061a. Xerém; 1; - ; - ; 2; 1; 2; - ; 1; 1; - ; 2; 1 
15;062a. Imbariê; 1; 4; - ; 1; - ; 2; 3; 1; 2; 4; 2; -   
24;063a. Japerí; 1; 1; - ; - ; 1; - ; - ; - ; - ; - ; 2; 1 
21;064a. Vilar dos Teles; 3; 2; 1; 2; 4; 4; 2; 4; 2; 3; 3; 3 
34;065a. Magé; - ; 3; 3; 1; 2; 2; - ; 1; 2; - ; 1; 4 
34;066a. Piabetá; 3; 1; - ; 1; - ; 1; - ; - ; 1; - ; - ; 1 
34;067a. Guapimirim; 3; - ; - ; - ; 3; - ; - ; 3; 1; 3; 1; 1 
35;070a. Tanguá; - ; - ; - ; 2; - ; 2; - ; - ; 1; 2; 1; 1 
35;071a. Itaboraí; 2; 1; - ; 11; 5; 4; 4; 5; 5; 2; 7; 4 
7;072a. São Gonçalo; 1; 1; 3; 2; 1; 1; - ; 1; 5; 2; - ; -   
7;073a. Neves; 2; 2; 2; 2; 4; 1; 3; 1; 2; 1; - ; -   
7;074a. Alcantara; 2; 3; 5; 3; 1; 3; 3; 6; 5; 3; 5; 2 
7;075a. Rio do Ouro; 2; 2; - ; 2; 1; 7; - ; 2; 2; - ; 2; 6 
12;076a. Niterói - Centro; - ; - ; - ; - ; 3; 2; - ; - ; 5; 1; 2; -   
12;077a. Icaraí; - ; - ; 2; - ; - ; - ; 1; - ; - ; - ; - ; 1 
12;078a. Fonseca; - ; 3; 1; 1; 1; - ; 2; 3; 2; 4; 2; -   
12;079a. Jurujuba; - ; - ; - ; - ; 1; - ; - ; 3; - ; 1; - ; 2 
12;081a. Itaipú; - ; 4; - ; - ; 1; 1; - ; - ; 2; - ; 1; -   
12;082a. maricá; - ; 2; 5; 2; 6; 4; 8; 1; 1; 2; 4; 5 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; 1; 4; 1; - ; - ; 2; 5; 1; - ; 8; 2 
37;089a. Resende; 1; - ; 1; 2; - ; 2; 1; 3; 5; 3; 6; -   
28;090a. Barra Mansa; 6; 2; - ; 3; 1; 1; 3; 3; - ; 1; 1; 2 
10;091a. Valença; - ; - ; 1; 1; - ; 7; 1; - ; 1; 1; - ; -   
10;092a. Rio das Flores; - ; - ; 3; - ; - ; - ; - ; - ; - ; - ; - ; 1 
28;093a. Volta Redonda; 1; - ; 1; 2; - ; 1; 5; 4; - ; 3; 1; -   
10;094a. Piraí; - ; - ; - ; - ; 1; 1; - ; - ; 1; 1; 2; 1 
10;095a. Vassouras; 3; - ; - ; - ; 1; 1; - ; 2; 1; 1; 2; -   
10;096a. Miguel Pereira; - ; 1; 1; - ; - ; 1; - ; 2; 1; - ; 3; 1 
10;097a. Mendes; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; 1; - ; - ; 2; - ; - ; - ; -   
37;099a. Itatiaia; 1; - ; 1; 1; - ; 1; 1; 1; - ; 1; - ; -   
37;100a. Porto Real; 3; 3; - ; - ; 1; - ; - ; - ; 2; 1; - ; -   
28;101a. Pinheiral; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; 3 
30;104a. São J. Rio Preto; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
26;105a. Petrópolis; 1; 2; 4; 1; 1; 3; 1; 1; - ; 1; - ; -   
26;106a. Itaipava; 2; - ; - ; 1; 2; 3; 4; 2; 1; - ; - ; -   
38;107a. Paraíba do Sul; - ; 2; - ; - ; 1; - ; - ; - ; - ; 2; 5; 3 
38;108a. Três Rios; - ; - ; - ; - ; 3; 3; 2; 2; - ; 4; - ; 1 
38;109a. Sapucaia; 1; - ; - ; - ; - ; 1; 3; - ; - ; 4; 1; -   
30;110a. Teresópolis; 3; - ; 1; 3; 5; 2; 4; 4; 2; - ; 3; 9 
30;111a. Sumidouro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;112a. Carmo; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
25;118a. Araruama; 7; 5; 2; 3; 7; 1; 1; 2; 4; 4; 1; 3 
35;119a. Rio Bonito; 5; - ; 4; - ; 2; - ; - ; 1; 2; 2; 2; 2 
35;120a. Silva Jardim; 9; 6; 6; 1; 2; 5; 6; 1; 5; - ; 2; -   
32;121a. Casimiro de abreu; 7; - ; 1; 4; - ; 1; - ; 7; 2; 3; 2; 4 
32;122a. Conceição de Macabú; 1; - ; - ; - ; - ; 2; - ; - ; - ; - ; - ; 1 
32;123a. Macaé; 1; 3; 2; 5; 6; 3; 1; 10; 5; 3; 2; 2 
25;124a. Saquarema; 1; 3; 3; 1; - ; - ; 2; 3; 1; 3; 1; 2 
25;125a. São Pedro da Aldeia; - ; 3; - ; 4; 5; 4; 1; - ; - ; - ; 1; 2 
25;126a. Cabo Frio; 2; - ; 5; 1; 1; 4; 3; 5; 3; 5; 6; 2 
25;127a. Búzios; - ; - ; 1; - ; - ; 1; 1; - ; 3; 1; - ; 1 
32;128a. Rio das Ostras; - ; 1; - ; - ; 1; 5; - ; 4; 1; - ; 3; 1 
25;129a. Iguaba; 2; - ; - ; - ; 1; 1; - ; - ; 3; - ; - ; -   
32;130a. Quissamã; - ; - ; 2; - ; - ; - ; 2; 2; - ; - ; 1; 2 
25;132a. Arraial do Cabo; - ; - ; 1; - ; - ; - ; 1; - ; 1; - ; - ; -   
8;134a. Campos; 6; 8; 7; 2; 6; 2; 3; 6; 18; 5; 9; 6 
36;135a. Itaocara; - ; - ; - ; - ; - ; - ; - ; 1; 1; 1; - ; -   
36;136a. Santo Antônio de Pádua; - ; 4; - ; 2; 1; - ; 1; 2; 1; - ; 2; 2 
36;137a. Miracema; - ; - ; - ; - ; 2; 1; - ; 1; - ; - ; - ; -   
29;138a. Lajes de Muriaré; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
29;139a. Porciúncula; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;140a. Natividade; - ; - ; - ; - ; - ; 1; - ; 1; - ; - ; - ; -   
8;141a. São Fidelis; - ; - ; - ; - ; - ; 1; 1; - ; 1; 1; 2; -   
36;142a. Cambucí; - ; 2; - ; 2; - ; - ; - ; - ; - ; - ; - ; -   
29;143a. Itaperuna; 3; 3; 1; 5; 3; 5; 1; 5; 1; - ; 2; -   
29;144a. Bom Jesus do Itabapoana; 1; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; 2 
8;145a. São João da Barra; 3; 2; 3; 1; 2; 1; 7; 1; 2; 3; - ; -   
8;146a. Guarus; 5; 2; 6; 4; 7; 1; 4; 7; 8; 2; 5; 3 
8;147a. São Francisco de Itabapoana; 2; 2; 1; 1; 2; 1; - ; 2; 4; 2; 1; -   
29;148a. Italva; - ; - ; 1; - ; - ; - ; - ; 2; 2; - ; - ; -   
11;151a. nova Friburgo; 2; 3; 3; 3; 1; 6; 1; 1; 4; 1; 2; 2 
11;152a. Duas Barras; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2 
11;153a. Cantagalo; - ; - ; 1; - ; - ; - ; - ; - ; 2; - ; - ; 1 
