AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
30;104a. São J. Rio Preto;8;8;7;.;.;.;.;.;.;.;.;.
26;105a. Petrópolis;82;39;69;.;.;.;.;.;.;.;.;.
26;106a. Itaipava;16;13;20;.;.;.;.;.;.;.;.;.
38;107a. Paraíba do Sul;17;4;8;.;.;.;.;.;.;.;.;.
38;108a. Três Rios;42;15;19;.;.;.;.;.;.;.;.;.
38;109a. Sapucaia;3;7;6;.;.;.;.;.;.;.;.;.
30;110a. Teresópolis;56;40;61;.;.;.;.;.;.;.;.;.
30;111a. Sumidouro;0;0;4;.;.;.;.;.;.;.;.;.
30;112a. Carmo;5;7;3;.;.;.;.;.;.;.;.;.
25;118a. Araruama;38;13;44;.;.;.;.;.;.;.;.;.
35;119a. Rio Bonito;11;7;8;.;.;.;.;.;.;.;.;.
35;120a. Silva Jardim;8;8;11;.;.;.;.;.;.;.;.;.
32;121a. Casimiro de abreu;15;14;20;.;.;.;.;.;.;.;.;.
32;122a. Conceição de Macabú;12;8;5;.;.;.;.;.;.;.;.;.
32;123a. Macaé;47;9;15;.;.;.;.;.;.;.;.;.
25;124a. Saquarema;19;13;18;.;.;.;.;.;.;.;.;.
25;125a. São Pedro da Aldeia;16;14;10;.;.;.;.;.;.;.;.;.
25;126a. Cabo Frio;58;12;30;.;.;.;.;.;.;.;.;.
25;127a. Búzios;9;8;11;.;.;.;.;.;.;.;.;.
32;128a. Rio das Ostras;34;34;36;.;.;.;.;.;.;.;.;.
25;129a. Iguaba;8;2;1;.;.;.;.;.;.;.;.;.
32;130a. Quissamã;7;12;14;.;.;.;.;.;.;.;.;.
25;132a. Arraial do Cabo;15;0;9;.;.;.;.;.;.;.;.;.
8;134a. Campos;44;17;31;.;.;.;.;.;.;.;.;.
36;135a. Itaocara;16;15;13;.;.;.;.;.;.;.;.;.
36;136a. Santo Antônio de Pádua;17;10;16;.;.;.;.;.;.;.;.;.
36;137a. Miracema;4;2;2;.;.;.;.;.;.;.;.;.
29;138a. Lajes de Muriaré;3;2;1;.;.;.;.;.;.;.;.;.
29;139a. Porciúncula;7;13;16;.;.;.;.;.;.;.;.;.
29;140a. Natividade;5;7;4;.;.;.;.;.;.;.;.;.
8;141a. São Fidelis;10;3;9;.;.;.;.;.;.;.;.;.
36;142a. Cambucí;11;3;5;.;.;.;.;.;.;.;.;.
29;143a. Itaperuna;40;15;35;.;.;.;.;.;.;.;.;.
29;144a. Bom Jesus do Itabapoana;22;11;18;.;.;.;.;.;.;.;.;.
8;145a. São João da Barra;15;3;6;.;.;.;.;.;.;.;.;.
8;146a. Guarus;19;3;17;.;.;.;.;.;.;.;.;.
8;147a. São Francisco de Itabapoana;9;5;8;.;.;.;.;.;.;.;.;.
29;148a. Italva;8;4;7;.;.;.;.;.;.;.;.;.
11;151a. nova Friburgo;59;69;84;.;.;.;.;.;.;.;.;.
11;152a. Duas Barras;10;5;6;.;.;.;.;.;.;.;.;.
11;153a. Cantagalo;5;0;6;.;.;.;.;.;.;.;.;.
11;154a. Cordeiro;11;5;8;.;.;.;.;.;.;.;.;.
36;155a. São Sebastião do Alto;0;4;3;.;.;.;.;.;.;.;.;.
11;156a. Santa maria Madalena;5;1;4;.;.;.;.;.;.;.;.;.
11;157a. Trajano de Morais;5;0;9;.;.;.;.;.;.;.;.;.
11;158a. Bom Jardim;10;7;10;.;.;.;.;.;.;.;.;.
35;159a. Cachoeira de Macacú;29;6;9;.;.;.;.;.;.;.;.;.
33;165a. Mangaratiba;26;6;29;.;.;.;.;.;.;.;.;.
33;166a. Angra dos Reis;36;15;36;.;.;.;.;.;.;.;.;.
33;167a. Paraty;24;6;15;.;.;.;.;.;.;.;.;.
33;168a. Rio Claro;3;7;5;.;.;.;.;.;.;.;.;.
