AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
5;004a. Praça da República; 5; - ; 4; 2; 1; 2; 1; - ; - ; 3; - ; 1 
5;005a. Mem de Sá; - ; - ; 1; - ; 1; 1; 1; - ; - ; - ; - ; 1 
4;006a. Cidade nova; - ; 1; - ; 3; - ; 1; - ; 1; - ; - ; - ; 1 
5;007a. Santa Tereza; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
2;009a. Catete; - ; - ; 1; 1; - ; 1; - ; - ; 1; 2; - ; -   
2;010a. Botafogo; - ; - ; - ; 1; - ; - ; 1; - ; 1; 1; - ; -   
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; -   
19;013a. Ipanema; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
23;014a. Leblon; - ; - ; - ; 1; 1; - ; - ; - ; 1; - ; 2; -   
23;015a. Gávea; 4; - ; - ; - ; - ; - ; - ; 2; - ; - ; - ; 1 
31;016a. Barra da Tijuca; 2; 1; 3; 1; 3; 2; 5; - ; - ; 1; 1; 1 
4;017a. São Cristóvão; 4; 2; 4; 1; 1; - ; 3; 1; 2; 2; 2; 2 
4;018a. Praça da Bandeira; 4; - ; 1; - ; - ; - ; 1; 2; - ; - ; - ; -   
6;019a. Tijuca; 2; 1; 1; - ; - ; - ; - ; - ; 1; - ; - ; 1 
6;020a. Grajaú; - ; - ; 1; 1; - ; - ; - ; - ; 2; - ; - ; -   
22;021a. Bonsucesso; 3; 1; 3; - ; 5; 4; 5; 2; 2; 3; - ; 1 
16;022a. Penha; 2; 2; 1; 2; - ; - ; - ; 2; - ; - ; 3; -   
3;023a. Meier; 1; - ; - ; - ; 1; 1; - ; - ; - ; 2; - ; -   
3;024a. Piedade; - ; - ; - ; - ; 1; - ; - ; - ; 1; - ; 3; 3 
3;025a. Engenho novo; 1; - ; 2; - ; 1; 1; - ; 1; - ; - ; 1; 1 
3;026a. Todos os Santos; - ; - ; 1; 1; 1; - ; - ; - ; 1; - ; 2; -   
41;027a. Vicente de Carvalho; 4; 1; - ; 1; 1; 3; 2; 1; - ; 1; 1; -   
9;028a. Campinho; - ; 1; - ; 1; 3; - ; 3; - ; 1; - ; 1; -   
9;029a. Madureira; - ; - ; 1; 1; 3; 1; 1; - ; - ; 1; 2; 1 
9;030a. marechal Hermes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
41;031a. Ricardo Albuquerque; 2; - ; 3; - ; 1; 1; - ; - ; 3; - ; 1; 1 
18;032a. Taquara; 1; 1; - ; 1; 5; 4; 4; 1; - ; 1; - ; 1 
14;033a. Realengo; 1; 1; 4; 1; 1; - ; 5; 2; 1; 2; 1; 6 
14;034a. Bangu; 1; 1; 7; 5; 4; 3; - ; 3; 4; - ; 1; 3 
40;035a. Campo Grande; 4; 2; 3; 2; 5; - ; 5; 1; 1; 2; 5; 9 
27;036a. Santa Cruz; - ; 7; 5; 3; 5; 4; 8; 3; 4; 1; 3; 1 
17;037a. Ilha do Governador; - ; 1; - ; 2; - ; 1; 1; - ; - ; 4; - ; 2 
16;038a. Braz de Pina; 1; - ; 2; - ; - ; 1; 1; 2; - ; 1; 2; 3 
41;039a. Pavuna; - ; 2; 2; 1; 6; 2; 2; 2; 2; 1; 2; -   
9;040a. Honório Gurgel; 3; 1; - ; 3; - ; - ; - ; 1; - ; - ; - ; 1 
18;041a. Tanque; - ; - ; 1; 2; - ; - ; 1; - ; - ; - ; 1; 5 
31;042a. Recreio; 1; 2; - ; 3; 2; - ; 2; 1; - ; - ; - ; -   
27;043a. Pedra de Guaratiba; 3; 2; 2; - ; - ; 2; 1; 1; 1; - ; 3; 5 
