AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; 1; - 
5;004a- Praça da República; - ; 3; - ; - ; 1; 1; - ; 1; 1; 1; 1; 2 
5;005a- Mem de Sá; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; -; 1 
4;006a- Cidade nova; 3; 3; 2; - ; 1; 4; 2; 1; 2; 1; 1; - 
5;007a- Santa Tereza; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
2;009a- Catete; 2; 2; - ; 1; 1; 1; - ; 3; 1; 1; -; - 
2;010a- Botafogo; 1; - ; 1; 1; 1; 1; 1; - ; 1; 3; -; 1 
23;011a- Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
19;012a- Copacabana; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -; - 
19;013a- Ipanema; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -; - 
23;014a- Leblon; - ; - ; 1; 1; - ; - ; - ; - ; - ; 1; 1; - 
23;015a- Gávea; - ; - ; - ; 1; 1; - ; - ; - ; - ; 2; 1; - 
31;016a- Barra da Tijuca; 2; 5; - ; 3; - ; 1; - ; 4; 1; 1; -; 1 
4;017a- São Cristóvão; - ; - ; 3; - ; - ; 1; 1; 2; 1; 1; 3; 2 
4;018a- Praça da Bandeira; - ; - ; 1; 1; - ; 2; 4; 1; - ; - ; -; 2 
6;019a- Tijuca; - ; - ; 1; - ; 1; - ; 1; - ; 3; - ; -; 2 
6;020a- Grajaú; - ; 1; - ; - ; - ; - ; - ; - ; - ; 1; -; - 
22;021a- Bonsucesso; 8; - ; 4; 2; 3; 1; - ; 4; 2; - ; 2; 2 
16;022a- Penha; - ; 4; - ; - ; 1; 3; 3; 2; - ; 1; 3; 4 
3;023a- Meier; - ; - ; - ; - ; - ; - ; 1; 1; 1; - ; -; - 
3;024a- Piedade; - ; - ; - ; - ; - ; 1; 1; - ; 2; - ; 1; 1 
3;025a- Engenho novo; 2; - ; - ; 1; - ; - ; 1; 1; - ; - ; 1; 3 
3;026a- Todos os Santos; 1; - ; - ; 1; - ; 1; 2; - ; - ; - ; -; - 
41;027a- Vicente de Carvalho; 3; 1; 2; 2; 1; 1; - ; - ; - ; 4; -; - 
9;028a- Campinho; - ; - ; - ; - ; 2; - ; 1; 1; - ; - ; -; 1 
9;029a- Madureira; 1; 1; - ; - ; - ; 1; - ; 2; - ; 2; 3; - 
9;030a- marechal Hermes; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; 1; 2 
41;031a- Ricardo Albuquerque; 2; - ; 1; - ; - ; 1; 1; 1; - ; 1; -; - 
18;032a- Taquara; - ; 1; 1; - ; 3; 2; - ; 1; 2; 1; 1; 1 
14;033a- Realengo; 4; - ; 2; 1; 2; 2; 5; 3; 1; 8; 1; - 
14;034a- Bangu; 5; 2; 1; - ; 6; 3; 2; 5; 2; 3; 2; 1 
40;035a- Campo Grande; 2; 5; 4; 3; 4; 4; 8; 8; 4; 3; 2; 4 
27;036a- Santa Cruz; 3; 1; 2; 2; 2; - ; 2; 3; 2; 8; 3; 3 
17;037a- Ilha do Governador; 1; 1; 4; 1; 2; 1; 2; 2; - ; - ; 1; 2 
16;038a- Braz de Pina; 1; - ; 1; - ; 4; 3; - ; - ; 1; - ; -; 3 
41;039a- Pavuna; - ; 2; 4; - ; 1; - ; 2; - ; 4; 2; -; 1 
9;040a- Honório Gurgel; 2; - ; 1; - ; 1; 1; - ; - ; 1; - ; 1; - 
18;041a- Tanque; 1; - ; - ; 1; 1; - ; - ; - ; - ; 3; 1; - 
31;042a- Recreio; 2; 2; - ; 1; - ; - ; 2; - ; - ; - ; 1; 2 
27;043a- Pedra de Guaratiba; - ; 1; 2; - ; 2; 1; 1; 2; 1; - ; 1; - 
3;044a- Inhaúma; - ; 2; 3; 1; 1; - ; 1; 3; 2; 1; 2; 3 
16;045a- Alemão; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; -; - 
24;048a- Seropédica; - ; 3; 1; 2; - ; - ; - ; 1; - ; 4; 1; 5 
24;050a- Itaguaí; 4; 1; - ; 2; 7; 1; - ; 2; 1; - ; 2; 5 
24;051a- Paracambí; - ; 3; - ; - ; 1; - ; - ; - ; - ; 2; -; 2 
20;052a- nova Iguaçu; 4; - ; - ; - ; - ; - ; 1; 6; 6; - ; 1; 1 
20;053a- Mesquita; 2; - ; - ; - ; 1; - ; 3; - ; - ; - ; -; - 
39;054a- Belford Roxo; - ; - ; - ; - ; - ; 1; 1; 1; 4; 1; 1; - 
24;055a- Queimados; 2; - ; 2; 2; 3; 2; - ; 2; - ; 4; 2; - 
20;056a- Comendador Soares; 4; 2; - ; 4; - ; 5; 1; 6; 1; 3; 5; - 
20;057a- Nilópolis; 1; - ; - ; - ; 1; 1; - ; 1; 1; - ; 1; - 
20;058a- Posse; 5; 2; 3; 5; 4; - ; 1; 1; 3; 4; 2; 9 
15;059a- Duque de Caxias; 3; 1; 1; 2; 2; 3; 1; 4; 3; 2; 1; 5 
15;060a- Campos Elíseos; 1; 4; 3; 1; - ; 4; - ; 1; 5; 4; 3; 3 
15;061a- Xerém; - ; 2; 1; - ; - ; 1; - ; - ; - ; 1; -; 2 
15;062a- Imbariê; - ; - ; 1; - ; - ; - ; 2; - ; - ; - ; -; 1 
24;063a- Japerí; - ; - ; - ; 2; - ; 1; - ; - ; 2; 1; -; - 
21;064a- Vilar dos Teles; 1; 2; 2; 3; 4; 2; 3; 1; - ; 6; -; 2 
34;065a- Magé; - ; - ; - ; 2; - ; - ; 1; - ; - ; 2; -; 2 
34;066a- Piabetá; 2; 1; - ; - ; - ; - ; 1; 1; - ; - ; -; 2 
34;067a- Guapimirim; 3; 1; 1; 3; - ; 2; 1; - ; 4; 2; 3; 4 
35;070a- Tanguá; - ; - ; - ; 1; - ; - ; - ; 1; - ; 4; -; - 
35;071a- Itaboraí; 2; 2; - ; 1; 10; 2; 6; 1; 4; 2; 7; 6 
7;072a- São Gonçalo; 3; - ; - ; 2; - ; 1; 2; - ; 1; 4; 1; 4 
7;073a- Neves; 1; - ; 1; 2; 6; - ; 2; 1; 2; 2; 2; 1 
7;074a- Alcantara; 1; 1; 4; 2; 3; 4; 3; 3; 3; 5; 3; 1 
7;075a- Rio do Ouro; 2; 4; 3; 6; 3; 1; - ; 2; 1; 5; -; - 
12;076a- Niterói - Centro; 1; - ; - ; 1; 1; - ; - ; 2; - ; - ; -; - 
12;077a- Icaraí; 1; 2; - ; - ; - ; - ; 1; - ; - ; 1; -; 3 
12;078a- Fonseca; - ; 1; - ; 1; 2; 1; - ; - ; - ; - ; 2; 4 
12;079a- Jurujuba; 2; 2; - ; - ; 1; - ; 1; - ; - ; 2; 1; - 
12;081a- Itaipú; - ; - ; - ; 4; 1; - ; 2; 1; 1; 1; -; - 
12;082a- maricá; 5; 3; 2; 2; 4; 1; 4; 3; 5; 3; 5; 7 
10;087a- Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
10;088a- Barra do Piraí; 2; - ; 1; - ; - ; - ; - ; 6; - ; 4; 1; - 
37;089a- Resende; 1; 1; - ; 1; - ; 3; - ; 3; 4; 1; 1; - 
28;090a- Barra Mansa; - ; 1; - ; 1; - ; 1; 1; - ; 3; - ; -; 3 
10;091a- Valença; 1; - ; - ; - ; - ; 1; - ; - ; - ; - ; 1; 1 
10;092a- Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
28;093a- Volta Redonda; 1; 1; 1; 3; 3; 1; - ; 2; 3; - ; 3; - 
10;094a- Piraí; 2; 1; - ; - ; 1; - ; - ; 2; 1; 3; 1; 2 
10;095a- Vassouras; 3; - ; 2; - ; - ; 3; - ; - ; 5; - ; 2; 2 
10;096a- Miguel Pereira; - ; 1; - ; 3; - ; 1; 2; 1; 2; - ; 2; - 
10;097a- Mendes; 1; 1; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
10;098a- Paulo de Frontin; - ; 1; - ; - ; - ; 2; 1; - ; - ; 1; -; - 
37;099a- Itatiaia; - ; - ; 2; - ; - ; - ; - ; 1; 2; - ; -; 1 
37;100a- Porto Real; - ; - ; - ; 1; 1; - ; 1; - ; - ; - ; 1; 1 
28;101a- Pinheiral; 1; - ; - ; 1; - ; 1; 1; - ; - ; - ; -; - 
30;104a- São J- Rio Preto; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2; -; - 
26;105a- Petrópolis; 3; 2; 1; - ; - ; 1; - ; 1; 1; 2; 3; 2 
26;106a- Itaipava; 2; - ; 1; 1; 2; - ; - ; 1; 2; - ; 1; - 
38;107a- Paraíba do Sul; - ; - ; - ; - ; - ; - ; 1; 1; - ; - ; -; 3 
38;108a- Três Rios; 1; 1; - ; 1; 1; 2; - ; 3; 1; - ; 1; 1 
38;109a- Sapucaia; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; 1; 1 
30;110a- Teresópolis; 1; 7; 1; 5; 4; 1; 5; 2; 5; 2; 2; 8 
30;111a- Sumidouro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
30;112a- Carmo; 1; - ; - ; 3; 1; - ; - ; - ; - ; - ; -; - 
25;118a- Araruama; - ; 2; 3; - ; 2; 2; 1; 1; 2; 2; 1; - 
35;119a- Rio Bonito; 3; - ; 1; - ; 5; - ; 3; 2; 2; - ; 5; 5 
35;120a- Silva Jardim; 1; 3; 1; 1; 2; 1; 4; - ; - ; 2; -; 3 
32;121a- Casimiro de abreu; - ; 4; - ; 1; - ; - ; 5; 5; 3; - ; -; - 
32;122a- Conceição de Macabú; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
32;123a- Macaé; 3; 4; - ; 7; - ; - ; 3; 3; 2; 2; 1; 3 
25;124a- Saquarema; 3; 2; 1; - ; - ; 1; 3; 4; 1; - ; -; 3 
25;125a- São Pedro da Aldeia; 6; 4; 4; 1; 1; 7; 1; 1; - ; 3; 4; 3 
25;126a- Cabo Frio; 6; 2; 2; 2; 5; 1; 3; 2; 1; - ; 4; 2 
25;127a- Búzios; 1; - ; 1; - ; - ; 1; - ; - ; - ; - ; -; - 
32;128a- Rio das Ostras; 1; 3; 1; 1; 2; - ; 2; 3; - ; 3; 4; 1 
25;129a- Iguaba; - ; 1; - ; - ; - ; - ; - ; - ; 2; - ; -; - 
32;130a- Quissamã; 1; 2; - ; - ; - ; - ; 2; - ; 3; 1; -; - 
25;132a- Arraial do Cabo; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; 2; 2 
8;134a- Campos; 6; 1; 2; 4; 2; - ; 7; 7; 5; 1; 7; 4 
36;135a- Itaocara; - ; - ; - ; - ; - ; - ; 1; - ; 1; 1; -; - 
36;136a- Santo Antônio de Pádua; 2; - ; - ; 4; - ; - ; 4; 2; 1; 2; -; 4 
36;137a- Miracema; - ; - ; - ; 1; - ; - ; - ; 1; - ; - ; -; - 
29;138a- Lajes de Muriaré; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2; -; - 
29;139a- Porciúncula; - ; - ; - ; 1; - ; 1; 1; - ; 3; - ; -; - 
29;140a- Natividade; - ; - ; - ; - ; - ; - ; 1; - ; 1; - ; -; - 
8;141a- São Fidelis; - ; 1; 1; - ; - ; 2; - ; 4; - ; - ; 1; - 
36;142a- Cambucí; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -; - 
29;143a- Itaperuna; 2; - ; - ; 3; - ; 3; 2; - ; 1; 1; -; - 
29;144a- Bom Jesus do Itabapoana; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
8;145a- São João da Barra; 1; 2; - ; 4; - ; - ; 1; - ; - ; 2; -; 1 
8;146a- Guarus; 7; 4; 7; 3; 6; 4; 3; 3; 1; 4; 2; 1 
8;147a- São Francisco de Itabapoana; 1; 1; 2; - ; - ; 1; 1; - ; - ; 1; 1; 1 
29;148a- Italva; - ; - ; 1; - ; - ; 1; - ; - ; - ; 1; -; - 
11;151a- nova Friburgo; 1; 1; 1; 1; 2; - ; - ; 3; 1; 1; 2; 1 
11;152a- Duas Barras; 3; - ; - ; 1; - ; - ; - ; - ; - ; - ; -; - 
11;153a- Cantagalo; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -; - 
11;154a- Cordeiro; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -; - 
36;155a- São Sebastião do Alto; - ; - ; - ; - ; - ; 2; 1; - ; 1; - ; -; - 
11;156a- Santa maria Madalena; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
11;157a- Trajano de Morais; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
11;158a- Bom Jardim; - ; 2; - ; - ; 1; 1; - ; - ; - ; - ; 1; - 
35;159a- Cachoeira de Macacú; 2; 2; 1; 2; 2; 2; - ; 1; 1; 1; -; 3 
33;165a- Mangaratiba; 7; 1; 1; 2; - ; 1; - ; - ; - ; - ; 3; 2 
