AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
5;004a. Praça da República; - ; - ; - ; - ; 1; - ; - ; - ; 1; - ; 1; -   
5;005a. Mem de Sá; 2; 2; - ; - ; - ; - ; 1; - ; 2; - ; 1; 1 
4;006a. Cidade nova; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2; - ; 2 
5;007a. Santa Tereza; - ; 2; 1; - ; 1; - ; - ; 2; 3; - ; 1; 1 
2;009a. Catete; 1; - ; - ; 4; - ; 3; 1; 3; - ; 1; 4; 1 
2;010a. Botafogo; 2; 2; 4; 1; 1; - ; - ; - ; 1; 1; 1; 1 
23;011a. Rocinha; - ; - ; - ; 1; - ; - ; - ; - ; - ; 1; - ; 1 
19;012a. Copacabana; 2; 1; - ; 1; 1; 2; - ; 1; 1; - ; - ; 1 
19;013a. Ipanema; - ; - ; 2; 3; 1; 2; 1; 1; - ; 1; 1; -   
23;014a. Leblon; - ; 1; 1; 3; 1; - ; 1; 2; - ; - ; - ; 2 
23;015a. Gávea; 2; 2; - ; 4; 2; 2; 1; - ; - ; - ; 5; -   
31;016a. Barra da Tijuca; 2; 3; 2; - ; 1; - ; 2; - ; - ; 2; 1; 1 
4;017a. São Cristóvão; - ; 1; - ; - ; 1; 1; - ; - ; 1; 1; 1; -   
4;018a. Praça da Bandeira; - ; 1; - ; - ; - ; 1; - ; 2; 1; - ; - ; -   
6;019a. Tijuca; - ; - ; 1; 2; - ; 1; - ; - ; - ; - ; - ; 1 
6;020a. Grajaú; - ; - ; 1; - ; - ; 1; 1; 1; - ; - ; - ; 2 
22;021a. Bonsucesso; - ; 1; 1; - ; 1; 1; - ; 1; 1; - ; - ; 2 
16;022a. Penha; 2; - ; 1; - ; 1; 1; 1; - ; 1; - ; 1; -   
3;023a. Meier; - ; - ; 1; 1; 1; - ; - ; 1; 1; - ; 1; -   
3;024a. Piedade; 1; - ; 4; - ; - ; - ; 2; - ; - ; 2; - ; -   
3;025a. Engenho novo; 1; 1; 1; 2; 2; 2; - ; 2; 1; - ; 1; 1 
3;026a. Todos os Santos; 3; 2; - ; 2; - ; - ; - ; - ; - ; 1; 2; -   
41;027a. Vicente de Carvalho; 4; 1; 1; - ; - ; 2; 2; - ; - ; 2; 2; -   
9;028a. Campinho; - ; - ; 1; - ; 1; 1; 2; 1; - ; 1; 2; 3 
9;029a. Madureira; 1; 1; - ; - ; 1; 1; 1; - ; - ; 1; - ; -   
9;030a. marechal Hermes; 1; - ; 1; 1; 1; - ; 1; 1; - ; 1; - ; 1 
41;031a. Ricardo Albuquerque; 4; - ; - ; 1; 4; 3; 3; 2; 2; - ; 4; -   
18;032a. Taquara; 3; 6; 3; 1; 4; - ; 3; 2; - ; 1; 2; -   
14;033a. Realengo; 4; 3; 5; 2; 3; 3; 3; 1; 1; 1; 3; 2 
14;034a. Bangu; 4; 5; 4; 2; 3; 2; 1; 3; - ; 1; 2; 1 
40;035a. Campo Grande; 7; 6; 3; 4; 10; 1; 5; 3; - ; 1; 3; 1 
