AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 414; 650; 339; 356; 404; 341; 486; 687; 522; 494; 510; 630 
5;004a. Praça da República; 1055; 1186; 1094; 923; 880; 982; 973; 1231; 1049; 846; 877; 792 
5;005a. Mem de Sá; 1278; 1758; 1060; 1138; 1105; 1002; 1214; 1750; 1229; 1184; 1109; 1170 
4;006a. Cidade nova; 600; 708; 600; 528; 590; 608; 609; 566; 603; 717; 596; 576 
5;007a. Santa Tereza; 224; 317; 213; 167; 204; 203; 184; 182; 192; 197; 199; 196 
2;009a. Catete; 928; 953; 766; 714; 715; 748; 772; 834; 723; 783; 687; 725 
2;010a. Botafogo; 654; 764; 714; 704; 693; 696; 685; 795; 698; 728; 658; 733 
23;011a. Rocinha; 123; 114; 105; 139; 145; 151; 158; 158; 170; 223; 124; 117 
19;012a. Copacabana; 1545; 1285; 916; 891; 813; 738; 801; 1463; 855; 891; 773; 1029 
19;013a. Ipanema; 515; 663; 386; 374; 386; 376; 399; 573; 403; 446; 414; 473 
23;014a. Leblon; 1118; 1888; 675; 808; 681; 601; 708; 1058; 683; 766; 727; 861 
23;015a. Gávea; 386; 378; 338; 293; 297; 315; 296; 356; 296; 302; 288; 280 
31;016a. Barra da Tijuca; 1187; 1172; 1167; 1123; 1107; 1147; 1043; 1271; 1229; 1045; 1163; 1081 
4;017a. São Cristóvão; 811; 713; 803; 779; 731; 687; 653; 690; 683; 689; 720; 659 
4;018a. Praça da Bandeira; 555; 617; 722; 562; 655; 635; 605; 684; 546; 697; 687; 659 
6;019a. Tijuca; 688; 740; 726; 700; 657; 743; 758; 673; 624; 680; 651; 751 
6;020a. Grajaú; 594; 585; 584; 592; 579; 617; 994; 1270; 615; 707; 623; 641 
22;021a. Bonsucesso; 1188; 1118; 1399; 1329; 1326; 1392; 1418; 1402; 1356; 1430; 1525; 1377 
16;022a. Penha; 741; 787; 835; 762; 832; 850; 821; 919; 816; 865; 799; 765 
3;023a. Meier; 669; 729; 713; 710; 709; 718; 748; 667; 703; 701; 653; 564 
3;024a. Piedade; 532; 491; 478; 512; 561; 494; 533; 537; 549; 527; 543; 469 
3;025a. Engenho novo; 612; 587; 725; 651; 600; 602; 634; 679; 1169; 860; 836; 843 
3;026a. Todos os Santos; 601; 530; 549; 542; 521; 471; 528; 471; 520; 453; 480; 494 
41;027a. Vicente de Carvalho; 998; 1045; 1103; 980; 1054; 1051; 1159; 966; 959; 1178; 1008; 1019 
9;028a. Campinho; 965; 928; 853; 805; 768; 741; 764; 700; 703; 754; 694; 688 
9;029a. Madureira; 1020; 960; 1001; 914; 912; 1028; 988; 958; 937; 955; 945; 968 
9;030a. marechal Hermes; 524; 556; 564; 482; 532; 552; 505; 485; 517; 492; 544; 520 
41;031a. Ricardo Albuquerque; 634; 679; 690; 642; 766; 762; 751; 804; 839; 937; 909; 936 
18;032a. Taquara; 1306; 1346; 1391; 1400; 1296; 1300; 1241; 1271; 1222; 1282; 1256; 1209 
14;033a. Realengo; 1024; 919; 1031; 756; 836; 836; 847; 1044; 962; 984; 970; 945 
14;034a. Bangu; 1467; 1398; 1436; 1381; 1431; 1529; 1534; 1499; 1557; 1572; 1584; 1648 
40;035a. Campo Grande; 1825; 1640; 1816; 1650; 1683; 1675; 1744; 1844; 2040; 2203; 2048; 2083 
27;036a. Santa Cruz; 964; 971; 1025; 774; 874; 836; 984; 932; 944; 987; 957; 885 
17;037a. Ilha do Governador; 772; 769; 764; 697; 779; 662; 709; 697; 673; 620; 629; 624 
16;038a. Braz de Pina; 785; 755; 694; 704; 869; 824; 744; 809; 715; 863; 803; 816 
41;039a. Pavuna; 857; 854; 1020; 880; 958; 994; 876; 894; 1002; 1022; 1091; 1034 
9;040a. Honório Gurgel; 705; 760; 921; 733; 812; 786; 759; 705; 789; 863; 883; 931 
18;041a. Tanque; 492; 480; 484; 481; 498; 457; 539; 493; 522; 564; 499; 469 
31;042a. Recreio; 849; 907; 797; 712; 652; 663; 665; 960; 811; 675; 797; 854 
27;043a. Pedra de Guaratiba; 566; 517; 551; 443; 442; 457; 475; 462; 444; 419; 456; 415 
3;044a. Inhaúma; 608; 630; 605; 561; 649; 532; 488; 525; 578; 597; 515; 545 
16;045a. Alemão; 131; 109; 102; 93; 96; 103; 104; 100; 61; 90; 56; 83 
24;048a. Seropédica; 202; 226; 299; 271; 270; 312; 406; 294; 285; 272; 246; 234 
24;050a. Itaguaí; 589; 459; 536; 413; 419; 477; 421; 452; 453; 504; 468; 388 
24;051a. Paracambí; 129; 171; 166; 156; 160; 190; 154; 168; 174; 156; 154; 142 
20;052a. nova Iguaçu; 950; 979; 1009; 1026; 1004; 1075; 1064; 1005; 1131; 1201; 1211; 1102 
20;053a. Mesquita; 836; 795; 788; 797; 781; 758; 748; 818; 875; 924; 890; 820 
39;054a. Belford Roxo; 1028; 995; 1061; 1114; 1140; 1139; 1112; 1161; 1337; 1483; 1345; 1323 
24;055a. Queimados; 545; 561; 597; 605; 615; 589; 642; 586; 797; 587; 572; 555 
20;056a. Comendador Soares; 825; 814; 954; 897; 964; 932; 858; 844; 864; 975; 871; 890 
20;057a. Nilópolis; 825; 875; 795; 709; 660; 778; 717; 840; 806; 885; 858; 863 
20;058a. Posse; 1166; 1226; 1295; 1291; 1284; 1109; 1213; 1104; 1176; 1377; 1213; 1381 
15;059a. Duque de Caxias; 2091; 1873; 1941; 1883; 1990; 1877; 2161; 2024; 1956; 2163; 1793; 1963 
15;060a. Campos Elíseos; 767; 713; 754; 719; 711; 803; 749; 721; 755; 770; 843; 895 
15;061a. Xerém; 168; 179; 158; 173; 165; 185; 170; 177; 169; 162; 151; 173 
15;062a. Imbariê; 443; 491; 531; 448; 463; 492; 459; 536; 511; 527; 548; 555 
24;063a. Japerí; 309; 343; 322; 286; 292; 319; 300; 245; 322; 290; 289; 275 
21;064a. Vilar dos Teles; 1801; 1703; 1789; 1679; 1869; 1896; 1856; 1903; 1858; 2148; 1894; 1807 
34;065a. Magé; 310; 302; 324; 295; 302; 280; 293; 226; 251; 280; 269; 287 
34;066a. Piabetá; 446; 474; 488; 442; 452; 443; 389; 423; 431; 400; 419; 505 
34;067a. Guapimirim; 185; 188; 185; 180; 165; 210; 173; 174; 191; 252; 171; 189 
35;070a. Tanguá; 87; 73; 91; 77; 84; 97; 69; 82; 80; 79; 98; 76 
35;071a. Itaboraí; 810; 692; 755; 739; 761; 741; 764; 837; 830; 869; 752; 734 
7;072a. São Gonçalo; 1076; 1109; 1140; 1035; 1106; 1063; 1269; 1361; 1460; 1498; 1547; 1326 
