AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
7;073a. Neves; 8; 6; 5; 4; 4; 3; 7; 2; 4; 5; 10; 5 
7;074a. Alcantara; 19; 11; 12; 10; 4; 9; 12; 10; 8; 17; 6; 19 
7;075a. Rio do Ouro; 5; 2; 2; 4; 2; 2; - ; 2; 4; - ; 4; 15 
12;076a. Niterói - Centro; 2; 1; - ; 1; 3; 3; 2; 4; 3; 3; 6; 5 
12;077a. Icaraí; 1; - ; 1; - ; - ; - ; 1; - ; - ; - ; - ; -   
12;078a. Fonseca; 2; - ; 1; - ; 1; - ; 1; 3; - ; 1; 6; 1 
12;079a. Jurujuba; - ; - ; - ; 1; - ; - ; - ; - ; - ; 1; - ; 1 
12;081a. Itaipú; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
12;082a. maricá; 1; 2; 3; 1; - ; - ; 2; - ; 2; - ; 1; -   
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; - ; 1; - ; - ; - ; - ; - ; - ; 1; - ; -   
37;089a. Resende; - ; 1; - ; - ; - ; - ; - ; 1; 1; - ; - ; -   
28;090a. Barra Mansa; - ; 2; - ; - ; - ; 1; - ; 2; - ; - ; - ; -   
10;091a. Valença; - ; - ; - ; - ; - ; - ; 2; - ; - ; - ; 1; 1 
10;092a. Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a. Volta Redonda; 2; 1; 2; 1; 2; - ; - ; - ; 1; - ; - ; 1 
10;094a. Piraí; 3; 2; 2; 1; 3; 6; 1; 2; 1; 2; 2; 2 
10;095a. Vassouras; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
10;096a. Miguel Pereira; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;097a. Mendes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
37;099a. Itatiaia; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
37;100a. Porto Real; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; -   
28;101a. Pinheiral; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;104a. São J. Rio Preto; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
26;105a. Petrópolis; - ; - ; 2; - ; - ; 2; - ; - ; - ; 3; 2; 2 
26;106a. Itaipava; - ; - ; - ; - ; - ; 1; - ; - ; 1; - ; - ; -   
38;107a. Paraíba do Sul; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
38;108a. Três Rios; 2; - ; 1; 1; - ; 3; 1; - ; 1; - ; 1; -   
38;109a. Sapucaia; 1; 1; - ; 1; - ; 1; 1; - ; 1; - ; - ; -   
30;110a. Teresópolis; 1; 1; 2; 1; - ; - ; 3; - ; 1; 2; - ; 1 
30;111a. Sumidouro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;112a. Carmo; 1; 1; - ; - ; - ; - ; - ; - ; - ; 1; 1; 1 
25;118a. Araruama; 1; - ; 1; 1; - ; - ; - ; 1; 1; - ; 1; 1 
35;119a. Rio Bonito; 1; - ; - ; 1; - ; - ; - ; - ; - ; - ; 1; 1 
35;120a. Silva Jardim; - ; - ; - ; - ; 1; - ; 2; - ; - ; - ; 1; -   
32;121a. Casimiro de abreu; 3; 1; 3; - ; 2; - ; - ; - ; - ; 2; 2; 1 
32;122a. Conceição de Macabú; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; -   
32;123a. Macaé; 5; 2; 4; 3; 1; - ; 2; 2; - ; 4; 3; 3 
25;124a. Saquarema; 1; 1; - ; - ; - ; - ; - ; - ; 1; 1; - ; 2 
25;125a. São Pedro da Aldeia; - ; 1; - ; 1; 1; - ; 2; - ; 1; - ; - ; 1 
25;126a. Cabo Frio; 3; 4; 2; 4; - ; 5; 5; 1; - ; - ; 1; 3 
25;127a. Búzios; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
32;128a. Rio das Ostras; - ; 1; 2; 1; 3; 2; - ; - ; - ; 1; 2; -   
25;129a. Iguaba; 4; - ; 1; - ; 1; - ; 1; - ; 1; 1; 1; -   
