AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
5;004a. Praça da República; - ; - ; - ; - ; - ; - ; - ; - ; 2; - ; 1; -   
5;005a. Mem de Sá; 20; 41; 44; 13; 8; 15; 10; 14; 17; 19; 16; 6 
4;006a. Cidade nova; 14; 6; - ; - ; - ; - ; - ; - ; - ; 2; - ; -   
5;007a. Santa Tereza; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
2;009a. Catete; - ; 4; 1; 1; - ; - ; 1; - ; - ; 3; 1; -   
2;010a. Botafogo; - ; 1; 2; - ; 1; - ; - ; 4; - ; 2; - ; 1 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; 11; 20; 47; 31; 15; 35; 21; 37; 37; 45; 53; 13 
19;013a. Ipanema; 2; 37; 11; 1; - ; 2; 2; 5; 15; 7; 3; 1 
23;014a. Leblon; 7; 34; 36; 9; 7; 6; 8; 31; 57; 25; 51; 15 
23;015a. Gávea; - ; - ; - ; - ; - ; 2; - ; - ; - ; - ; - ; -   
31;016a. Barra da Tijuca; 3; 10; 13; 6; 4; 7; 16; 11; 16; 3; 18; 8 
4;017a. São Cristóvão; - ; 2; 16; 10; 6; 18; 16; 18; 12; 14; 12; 5 
4;018a. Praça da Bandeira; 2; - ; - ; - ; - ; - ; - ; 2; - ; - ; - ; -   
6;019a. Tijuca; 1; 9; 4; 5; 3; 9; 2; 5; 6; 4; 6; 5 
6;020a. Grajaú; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
22;021a. Bonsucesso; 5; 16; 13; 9; 9; 17; 7; 7; 12; 16; 17; 21 
16;022a. Penha; 6; 15; 22; 10; 18; 29; 20; 19; 39; 40; 48; 20 
3;023a. Meier; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
3;024a. Piedade; - ; 8; 13; 4; 11; 3; 5; 2; - ; - ; - ; -   
3;025a. Engenho novo; 3; 4; 14; 3; 8; 14; 6; 8; 2; 24; 28; 9 
3;026a. Todos os Santos; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
41;027a. Vicente de Carvalho; - ; - ; - ; - ; 1; - ; - ; - ; 1; 1; - ; -   
9;028a. Campinho; - ; 6; 8; 6; 6; 3; 3; 5; 8; - ; - ; -   
9;029a. Madureira; - ; 5; 7; 9; 3; 3; 3; 7; 6; 9; 10; 10 
9;030a. marechal Hermes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
41;031a. Ricardo Albuquerque; - ; - ; - ; - ; - ; - ; 1; 1; - ; - ; - ; -   
18;032a. Taquara; 1; 2; 7; 6; 11; 27; 3; 12; 9; 8; 19; 7 
14;033a. Realengo; 1; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2 
14;034a. Bangu; 11; 18; 27; 25; 27; 34; 27; 7; 20; 28; 37; 19 
40;035a. Campo Grande; 1; 2; 11; 5; 1; 9; 4; 1; 2; 3; 7; 2 
27;036a. Santa Cruz; - ; - ; - ; 1; - ; - ; 2; - ; - ; 3; - ; -   
17;037a. Ilha do Governador; - ; 3; 6; 8; 4; 3; 13; 8; 6; 29; 7; 4 
16;038a. Braz de Pina; 9; 11; 24; 10; 16; - ; 1; - ; - ; - ; - ; -   
41;039a. Pavuna; 3; - ; 1; 3; 9; 2; 1; 3; 4; 3; 2; 1 
9;040a. Honório Gurgel; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 2 
18;041a. Tanque; 1; 12; 8; 3; 5; 5; 5; - ; - ; - ; 1; -   
31;042a. Recreio; - ; 2; 4; - ; - ; 1; 1; 1; 1; - ; - ; -   
27;043a. Pedra de Guaratiba; - ; - ; - ; - ; 5; - ; - ; - ; - ; - ; - ; -   
3;044a. Inhaúma; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
16;045a. Alemão; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
24;048a. Seropédica; - ; 2; - ; - ; - ; 3; 1; - ; - ; 1; - ; 2 
24;050a. Itaguaí; 8; 9; 13; 7; 9; 6; 10; 13; 11; 5; 14; 10 
24;051a. Paracambí; 2; - ; - ; - ; 1; 1; 1; - ; - ; 1; 1; 1 
20;052a. nova Iguaçu; 2; 4; 4; 3; 2; 4; 5; 4; 3; 5; 5; 4 
20;053a. Mesquita; 3; 3; 6; 8; 3; 4; 5; 5; 5; 8; 8; 7 
39;054a. Belford Roxo; 22; 38; 22; 30; 15; 19; 18; 19; 17; 12; 10; 11 
24;055a. Queimados; 2; 4; 1; 4; 1; - ; 1; 1; - ; 2; 2; 3 
20;056a. Comendador Soares; 12; 10; 14; 14; 17; 10; 15; 7; 13; 18; 16; 14 
20;057a. Nilópolis; 4; 2; 4; 1; 11; 2; 2; 2; 8; 5; - ; 4 
20;058a. Posse; - ; 4; 8; 4; 10; 12; 20; 10; 12; - ; 2; 4 
15;059a. Duque de Caxias; 8; 8; 15; 14; 12; 15; 16; 12; 18; 14; 13; 20 
15;060a. Campos Elíseos; 8; 11; 9; 6; 7; 10; 7; 4; 15; 12; 15; 13 
15;061a. Xerém; - ; - ; - ; 1; - ; 2; 1; 2; 1; - ; - ; -   
15;062a. Imbariê; 17; 15; 18; 20; 14; 28; 24; 23; 30; 27; 16; 20 
24;063a. Japerí; 8; 1; 5; 5; 2; 2; 5; 1; 2; 2; 3; 3 
21;064a. Vilar dos Teles; 6; - ; 15; 16; 13; 11; 3; 8; 18; 19; 12; 12 
