AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 5; 4; 3; 1; 5; 3; 9; 4; 1; 4; 3; 8 
5;004a. Praça da República; 3; 2; 3; 1; 3; 1; 1; - ; 2; 3; 3; 4 
5;005a. Mem de Sá; 3; 6; 3; - ; 4; 4; 7; 2; 4; 3; 4; 4 
4;006a. Cidade nova; 3; 2; 3; 1; 3; 2; 1; - ; 4; 3; 2; 6 
5;007a. Santa Tereza; 1; 1; - ; - ; - ; 1; 1; - ; - ; - ; - ; -   
2;009a. Catete; 2; - ; - ; 1; 1; - ; 2; - ; 1; - ; - ; -   
2;010a. Botafogo; 1; - ; 1; - ; - ; 1; - ; - ; - ; 1; - ; -   
23;011a. Rocinha; - ; - ; - ; - ; 2; 1; 1; - ; - ; - ; - ; 1 
19;012a. Copacabana; - ; - ; - ; - ; 2; - ; 2; 2; 1; - ; - ; 1 
19;013a. Ipanema; 1; - ; 2; - ; - ; - ; 1; - ; - ; 2; - ; -   
23;014a. Leblon; 1; 3; - ; 1; 3; 2; 1; 3; - ; 1; - ; 1 
23;015a. Gávea; - ; 2; 2; - ; 1; 1; - ; - ; 1; 3; - ; -   
31;016a. Barra da Tijuca; 2; 1; 2; - ; 3; 1; 5; - ; 4; 3; 5; 2 
4;017a. São Cristóvão; 16; 3; 6; 10; 2; 7; 14; 2; 7; 9; 16; 11 
4;018a. Praça da Bandeira; - ; 2; 2; 1; 3; 2; 5; - ; - ; 1; 3; 1 
6;019a. Tijuca; 4; 2; - ; 1; 2; 1; 1; 1; 1; 3; 2; 5 
6;020a. Grajaú; 16; 5; 5; 2; 5; - ; - ; - ; 2; 5; 5; 6 
22;021a. Bonsucesso; 11; 17; 13; 17; 17; 6; 14; 16; 30; 13; 27; 26 
16;022a. Penha; 9; 15; 7; 9; 9; 14; 8; 13; 12; 15; 26; 19 
3;023a. Meier; 5; 3; 3; 5; 7; - ; 2; 5; 3; 5; 2; 2 
3;024a. Piedade; 7; 5; 6; 3; 6; 5; 6; 8; 2; 6; 6; 9 
3;025a. Engenho novo; 9; 5; 5; 7; 11; 2; 6; 4; 8; 2; 7; 3 
3;026a. Todos os Santos; 6; 3; 4; 3; 2; 2; - ; 6; 2; 1; 3; 3 
41;027a. Vicente de Carvalho; 6; 11; 12; 10; 16; 4; 9; 7; 8; 22; 16; 19 
9;028a. Campinho; 1; 2; 1; 8; 1; - ; 4; 3; 6; 3; 5; 6 
9;029a. Madureira; 1; 2; 6; 3; 4; 6; 4; 11; 6; 21; 11; 11 
9;030a. marechal Hermes; 8; 6; 5; 4; 5; 5; 3; 11; 7; 13; 18; 29 
41;031a. Ricardo Albuquerque; 7; 14; 11; 3; 7; 9; 4; 8; 7; 25; 20; 39 
18;032a. Taquara; 3; 4; 4; 5; 8; 2; 2; 4; 5; 6; 4; 3 
14;033a. Realengo; 7; 12; 4; 5; 6; 7; 6; 6; 18; 16; 13; 23 
14;034a. Bangu; 20; 23; 19; 14; 29; 26; 16; 13; 26; 23; 53; 44 
40;035a. Campo Grande; 13; 7; 11; 6; 10; 12; 12; 14; 37; 18; 31; 26 
27;036a. Santa Cruz; 4; 2; 1; 1; 3; 7; 3; 3; 7; 7; 8; 7 
17;037a. Ilha do Governador; 2; 1; 1; 3; 3; - ; 2; 4; 5; 3; 3; 3 
16;038a. Braz de Pina; 26; 27; 24; 18; 27; 19; 15; 21; 16; 18; 25; 38 
41;039a. Pavuna; 65; 39; 40; 39; 43; 57; 41; 39; 42; 57; 46; 63 
9;040a. Honório Gurgel; 6; 8; 10; 6; 9; 9; 7; 11; 16; 10; 19; 33 
18;041a. Tanque; 2; - ; 1; 2; 3; - ; 1; - ; 2; 2; 2; -   
31;042a. Recreio; 1; 1; - ; 1; 1; 1; - ; 1; 1; 1; 2; 1 
27;043a. Pedra de Guaratiba; 1; - ; - ; - ; 3; - ; - ; 1; 2; - ; 2; 2 
3;044a. Inhaúma; 8; 4; 7; 3; 5; 4; 9; 9; 7; 15; 9; 12 
16;045a. Alemão; - ; - ; 1; 2; 5; - ; 2; 1; 1; - ; - ; -   
24;048a. Seropédica; 4; 2; 2; - ; 1; 1; 2; 8; 6; 1; 4; 4 
24;050a. Itaguaí; - ; 2; - ; 1; - ; - ; 2; - ; 1; 4; 1; 6 
24;051a. Paracambí; - ; 1; 3; - ; 2; - ; 1; 2; 4; 6; 6; 1 
20;052a. nova Iguaçu; 8; 8; 8; 7; 11; 9; 7; 7; 9; 13; 10; 18 
20;053a. Mesquita; 3; 2; 2; 1; 6; 4; 8; 3; 4; 2; 6; 7 
39;054a. Belford Roxo; 23; 9; 12; 17; 23; 16; 6; 11; 28; 28; 15; 25 
24;055a. Queimados; 2; - ; - ; - ; 2; - ; 1; 3; 3; 2; 2; 1 
20;056a. Comendador Soares; 4; 3; 2; 6; 2; 1; 4; 7; 5; 1; 6; 13 
20;057a. Nilópolis; 5; 3; 7; 9; 14; 10; 17; 8; 5; 14; 18; 24 
20;058a. Posse; 12; 4; 3; 6; 11; 6; 8; 2; 9; 6; 3; 5 
15;059a. Duque de Caxias; 30; 35; 37; 32; 26; 20; 19; 26; 26; 33; 33; 57 
15;060a. Campos Elíseos; 19; 18; 6; 13; 20; 3; 6; 12; 2; - ; 2; 5 
15;061a. Xerém; 1; 1; 2; 2; 1; 3; 2; - ; 1; - ; 1; 4 
15;062a. Imbariê; 7; 15; 8; 9; 3; - ; 7; 2; 2; 4; 6; 5 
24;063a. Japerí; - ; - ; 2; 2; - ; - ; - ; 2; 3; 1; 1; 2 
21;064a. Vilar dos Teles; 17; 20; 20; 23; 21; 16; 28; 21; 20; 36; 30; 43 
34;065a. Magé; - ; 2; 1; 1; 3; 1; - ; 3; 1; 1; 4; 2 
34;066a. Piabetá; - ; - ; - ; 1; 1; 1; 1; 1; - ; - ; 2; 2 
34;067a. Guapimirim; - ; - ; - ; - ; - ; - ; - ; 1; - ; 1; - ; 1 
35;070a. Tanguá; - ; - ; - ; - ; - ; 2; - ; - ; - ; - ; - ; 1 
35;071a. Itaboraí; 2; 1; 1; 1; 4; 1; 1; 1; - ; 2; 3; 1 
