AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 17; 15; 13; 6; 12; 8; 12; 10; 6; 6; 6; 7 
5;004a. Praça da República; 42; 45; 61; 47; 37; 48; 54; 47; 54; 53; 49; 70 
5;005a. Mem de Sá; 60; 86; 81; 63; 60; 67; 64; 51; 54; 55; 44; 43 
4;006a. Cidade nova; 51; 39; 78; 52; 40; 49; 35; 25; 54; 50; 33; 41 
5;007a. Santa Tereza; 19; 24; 18; 29; 13; 14; 11; 10; 15; 12; 17; 13 
2;009a. Catete; 51; 56; 52; 37; 34; 49; 32; 28; 41; 37; 32; 36 
2;010a. Botafogo; 42; 59; 41; 40; 26; 35; 19; 19; 41; 31; 50; 30 
23;011a. Rocinha; 68; 42; 48; 35; 41; 39; 33; 27; 33; 29; 33; 44 
19;012a. Copacabana; 65; 79; 69; 67; 49; 82; 64; 38; 55; 54; 48; 61 
19;013a. Ipanema; 28; 24; 33; 22; 31; 40; 32; 30; 38; 34; 30; 30 
23;014a. Leblon; 33; 28; 37; 28; 18; 40; 33; 25; 19; 41; 21; 25 
23;015a. Gávea; 38; 24; 28; 19; 20; 46; 22; 11; 36; 31; 27; 24 
31;016a. Barra da Tijuca; 76; 64; 77; 70; 71; 72; 56; 57; 62; 70; 63; 80 
4;017a. São Cristóvão; 81; 75; 41; 71; 58; 86; 50; 51; 42; 61; 44; 52 
4;018a. Praça da Bandeira; 20; 22; 30; 18; 28; 27; 19; 25; 18; 28; 47; 26 
6;019a. Tijuca; 60; 51; 58; 44; 35; 56; 45; 42; 44; 41; 51; 61 
6;020a. Grajaú; 85; 49; 71; 60; 31; 49; 42; 51; 40; 66; 36; 51 
22;021a. Bonsucesso; 133; 109; 116; 126; 102; 99; 91; 86; 73; 86; 66; 99 
16;022a. Penha; 110; 79; 67; 65; 56; 71; 46; 40; 58; 55; 90; 55 
3;023a. Meier; 46; 37; 47; 46; 35; 15; 30; 24; 29; 28; 34; 33 
3;024a. Piedade; 55; 39; 63; 38; 37; 37; 27; 35; 36; 53; 32; 62 
3;025a. Engenho novo; 80; 72; 69; 81; 52; 64; 50; 49; 67; 67; 74; 59 
3;026a. Todos os Santos; 72; 53; 54; 42; 30; 57; 32; 30; 52; 50; 37; 32 
41;027a. Vicente de Carvalho; 76; 64; 74; 54; 66; 61; 55; 51; 62; 74; 79; 86 
9;028a. Campinho; 101; 84; 83; 77; 61; 68; 76; 73; 64; 76; 84; 94 
9;029a. Madureira; 81; 52; 59; 63; 67; 91; 36; 57; 50; 48; 89; 46 
9;030a. marechal Hermes; 104; 78; 74; 72; 58; 59; 53; 60; 43; 60; 69; 53 
41;031a. Ricardo Albuquerque; 74; 80; 109; 87; 48; 76; 53; 67; 56; 76; 76; 71 
18;032a. Taquara; 247; 274; 202; 241; 193; 200; 182; 188; 194; 204; 226; 218 
14;033a. Realengo; 132; 131; 136; 134; 120; 113; 85; 111; 99; 139; 101; 135 
14;034a. Bangu; 219; 241; 212; 165; 143; 178; 123; 141; 170; 162; 181; 177 
40;035a. Campo Grande; 335; 245; 291; 282; 224; 256; 235; 241; 274; 266; 292; 327 
27;036a. Santa Cruz; 187; 189; 164; 157; 139; 174; 144; 157; 162; 155; 169; 162 
17;037a. Ilha do Governador; 91; 78; 85; 65; 96; 88; 65; 65; 83; 88; 92; 55 
16;038a. Braz de Pina; 97; 80; 89; 82; 75; 93; 72; 66; 65; 83; 79; 93 
41;039a. Pavuna; 77; 66; 80; 69; 69; 50; 55; 53; 55; 59; 63; 58 
9;040a. Honório Gurgel; 58; 69; 51; 57; 29; 37; 47; 49; 35; 49; 53; 49 
18;041a. Tanque; 75; 68; 62; 77; 44; 67; 46; 62; 56; 64; 49; 55 
31;042a. Recreio; 80; 90; 89; 90; 71; 84; 83; 65; 78; 66; 71; 84 
27;043a. Pedra de Guaratiba; 120; 91; 101; 71; 86; 92; 73; 65; 88; 104; 101; 99 
3;044a. Inhaúma; 41; 38; 44; 29; 31; 42; 30; 31; 40; 30; 40; 46 
16;045a. Alemão; 35; 36; 25; 29; 17; 12; 14; 18; 17; 20; 19; 18 
24;048a. Seropédica; 48; 43; 51; 51; 33; 21; 41; 41; 36; 38; 37; 26 
24;050a. Itaguaí; 70; 54; 99; 45; 42; 69; 47; 38; 46; 46; 44; 56 
24;051a. Paracambí; 25; 15; 29; 38; 21; 27; 27; 31; 25; 26; 31; 21 
20;052a. nova Iguaçu; 70; 46; 58; 51; 40; 54; 42; 48; 44; 66; 52; 52 
20;053a. Mesquita; 111; 108; 120; 73; 47; 69; 63; 69; 80; 81; 72; 95 
39;054a. Belford Roxo; 256; 183; 183; 184; 155; 166; 149; 151; 159; 161; 161; 149 
24;055a. Queimados; 142; 92; 101; 109; 88; 111; 95; 114; 95; 108; 85; 93 
20;056a. Comendador Soares; 147; 122; 102; 96; 86; 114; 88; 81; 117; 118; 115; 117 
20;057a. Nilópolis; 105; 99; 67; 73; 73; 95; 71; 57; 85; 77; 70; 75 
20;058a. Posse; 250; 224; 199; 186; 148; 207; 149; 136; 180; 192; 140; 224 
15;059a. Duque de Caxias; 243; 208; 205; 160; 148; 176; 157; 135; 176; 182; 145; 212 
15;060a. Campos Elíseos; 145; 146; 102; 98; 85; 94; 71; 103; 103; 135; 94; 116 
15;061a. Xerém; 29; 16; 19; 21; 19; 18; 20; 22; 20; 29; 26; 30 
15;062a. Imbariê; 94; 88; 77; 66; 54; 46; 59; 54; 69; 58; 71; 68 
24;063a. Japerí; 72; 61; 49; 54; 56; 67; 42; 75; 65; 45; 66; 75 
21;064a. Vilar dos Teles; 239; 257; 215; 252; 164; 223; 163; 169; 191; 207; 196; 258 
34;065a. Magé; 82; 71; 78; 47; 33; 34; 62; 46; 41; 40; 42; 39 
34;066a. Piabetá; 105; 93; 102; 91; 67; 75; 77; 73; 83; 81; 87; 111 
34;067a. Guapimirim; 49; 37; 40; 23; 37; 19; 16; 32; 33; 31; 48; 32 
35;070a. Tanguá; 27; 23; 29; 18; 12; 24; 15; 18; 22; 12; 19; 13 
35;071a. Itaboraí; 118; 109; 112; 73; 89; 108; 74; 67; 89; 82; 96; 98 
7;072a. São Gonçalo; 154; 109; 126; 120; 94; 99; 92; 82; 81; 81; 94; 122 
7;073a. Neves; 85; 96; 94; 85; 69; 71; 68; 83; 81; 98; 72; 112 
7;074a. Alcantara; 147; 128; 132; 119; 96; 102; 82; 88; 104; 91; 108; 137 
7;075a. Rio do Ouro; 95; 57; 63; 53; 63; 57; 46; 52; 64; 48; 69; 59 
12;076a. Niterói - Centro; 47; 61; 40; 37; 42; 42; 49; 39; 37; 60; 53; 53 
12;077a. Icaraí; 45; 45; 32; 37; 25; 41; 34; 34; 31; 31; 39; 45 
12;078a. Fonseca; 69; 68; 60; 46; 39; 74; 55; 43; 42; 72; 66; 53 
12;079a. Jurujuba; 22; 33; 31; 19; 26; 24; 14; 28; 25; 27; 27; 28 
