AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
7;074a. Alcantara; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
7;075a. Rio do Ouro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
12;076a. Niterói - Centro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
12;077a. Icaraí; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; -   
12;078a. Fonseca; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
12;079a. Jurujuba; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
12;081a. Itaipú; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
12;082a. maricá; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
37;089a. Resende; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;090a. Barra Mansa; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;091a. Valença; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;092a. Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a. Volta Redonda; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; -   
10;094a. Piraí; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;095a. Vassouras; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;096a. Miguel Pereira; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;097a. Mendes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
37;099a. Itatiaia; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
37;100a. Porto Real; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;101a. Pinheiral; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;104a. São J. Rio Preto; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
26;105a. Petrópolis; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
26;106a. Itaipava; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
38;107a. Paraíba do Sul; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
38;108a. Três Rios; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
38;109a. Sapucaia; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;110a. Teresópolis; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
30;111a. Sumidouro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;112a. Carmo; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;118a. Araruama; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
35;119a. Rio Bonito; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
35;120a. Silva Jardim; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
32;121a. Casimiro de abreu; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
32;122a. Conceição de Macabú; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
32;123a. Macaé; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;124a. Saquarema; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;125a. São Pedro da Aldeia; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;126a. Cabo Frio; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;127a. Búzios; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
32;128a. Rio das Ostras; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;129a. Iguaba; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
32;130a. Quissamã; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
25;132a. Arraial do Cabo; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
8;134a. Campos; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
36;135a. Itaocara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
36;136a. Santo Antônio de Pádua; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
36;137a. Miracema; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;138a. Lajes de Muriaré; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;139a. Porciúncula; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;140a. Natividade; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
8;141a. São Fidelis; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
36;142a. Cambucí; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;143a. Itaperuna; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;144a. Bom Jesus do Itabapoana; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
8;145a. São João da Barra; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
8;146a. Guarus; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
8;147a. São Francisco de Itabapoana; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;148a. Italva; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;151a. nova Friburgo; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;152a. Duas Barras; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;153a. Cantagalo; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;154a. Cordeiro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
36;155a. São Sebastião do Alto; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;156a. Santa maria Madalena; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;157a. Trajano de Morais; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;158a. Bom Jardim; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
35;159a. Cachoeira de Macacú; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
33;165a. Mangaratiba; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
33;166a. Angra dos Reis; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
33;167a. Paraty; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
33;168a. Rio Claro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
