AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -; - 
5;004a- Praça da República; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; 1; 1 
5;005a- Mem de Sá; 1; - ; 1; 1; 1; 1; - ; 1; - ; 1; 3; 2 
4;006a- Cidade nova; - ; 2; - ; - ; 1; - ; 1; - ; - ; - ; 1; - 
5;007a- Santa Tereza; 1; 1; 2; - ; - ; 1; - ; 3; 1; 1; 2; 1 
2;009a- Catete; 3; - ; - ; 1; - ; 2; 1; 2; 1; - ; -; - 
2;010a- Botafogo; 1; - ; 1; 1; 2; 1; - ; 1; 1; 1; 1; 1 
23;011a- Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
19;012a- Copacabana; 1; 1; 2; - ; 1; 3; - ; - ; - ; 1; -; 1 
19;013a- Ipanema; 2; - ; - ; - ; - ; - ; 1; - ; - ; - ; 1; 1 
23;014a- Leblon; - ; 1; 1; 3; - ; 3; - ; - ; - ; 1; -; - 
23;015a- Gávea; 1; - ; 1; 1; 1; 1; 1; - ; - ; 1; 2; 1 
31;016a- Barra da Tijuca; - ; 1; 2; 1; 3; 2; 1; 5; 1; 1; 5; 2 
4;017a- São Cristóvão; - ; 1; 1; 1; - ; 1; - ; 1; 1; - ; -; - 
4;018a- Praça da Bandeira; - ; - ; 1; - ; - ; 3; - ; 1; - ; - ; -; 1 
6;019a- Tijuca; - ; 1; - ; 1; - ; - ; - ; - ; - ; 3; -; - 
6;020a- Grajaú; - ; 1; 2; 4; - ; - ; 1; 2; - ; 1; 3; 2 
22;021a- Bonsucesso; - ; 1; 1; - ; 2; - ; 1; - ; 3; 1; -; 1 
16;022a- Penha; - ; 2; 2; - ; - ; 3; 1; 1; 1; 2; 2; 1 
3;023a- Meier; 3; - ; 1; - ; - ; - ; 1; 1; - ; 1; 1; - 
3;024a- Piedade; 4; - ; - ; - ; 3; 3; - ; - ; 2; - ; -; 1 
3;025a- Engenho novo; 4; 3; 3; - ; - ; 2; 1; - ; 1; 1; 1; - 
3;026a- Todos os Santos; 1; 3; 1; 1; 2; 2; 2; 3; 3; 1; 1; 1 
41;027a- Vicente de Carvalho; 2; 1; - ; 3; - ; 1; 3; 1; - ; 2; -; - 
9;028a- Campinho; 1; 4; 2; 3; 2; 2; 3; - ; 1; - ; -; 4 
9;029a- Madureira; - ; 1; 1; - ; 1; - ; 2; 1; - ; 1; 1; - 
9;030a- marechal Hermes; 3; 3; 1; 1; - ; - ; 1; 1; 1; - ; -; - 
41;031a- Ricardo Albuquerque; 3; 3; - ; 4; 1; 1; 2; - ; 3; 3; 6; - 
18;032a- Taquara; 4; 2; 1; 1; 2; - ; 1; 1; 4; 2; 3; - 
14;033a- Realengo; 3; 2; - ; 1; 1; - ; - ; 1; - ; 4; -; 4 
14;034a- Bangu; 5; 2; 1; - ; 5; 1; 1; 4; 5; 4; 3; 3 
40;035a- Campo Grande; 6; 5; 1; 3; 2; 4; 1; 6; 1; 3; 7; 3 
27;036a- Santa Cruz; 3; 1; - ; - ; - ; - ; - ; - ; 2; - ; 2; 1 
