AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 1; 2; 2; 3; 1; 3; 2; 2; 7; 8; 4; 4 
5;004a. Praça da República; 21; 9; 23; 30; 18; 19; 12; 28; 30; 22; 21; 21 
5;005a. Mem de Sá; 2; 4; 13; 8; 5; 21; 4; 17; 27; 12; 5; 9 
4;006a. Cidade nova; 4; 12; 9; 14; 16; 12; 10; 5; 13; 12; 10; 14 
5;007a. Santa Tereza; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
2;009a. Catete; 4; 2; 7; 2; 4; 4; 2; 5; 4; 5; 12; 12 
2;010a. Botafogo; 7; 8; 9; 4; 9; 7; 2; 1; 3; 4; 14; 9 
23;011a. Rocinha; 1; - ; - ; 1; - ; 1; - ; 1; - ; - ; - ; 1 
19;012a. Copacabana; 6; - ; 2; 2; - ; 1; 2; 1; 3; 3; - ; 4 
19;013a. Ipanema; 5; 3; 2; 2; 1; 1; 1; - ; 6; 3; 1; 2 
23;014a. Leblon; 6; - ; 2; 4; 1; 3; - ; 1; 8; 3; 3; 8 
23;015a. Gávea; 1; 2; 3; 8; 4; 5; 1; 1; 1; 1; 4; 7 
31;016a. Barra da Tijuca; 25; 9; 13; 8; 16; 15; 11; 14; 19; 13; 4; 8 
4;017a. São Cristóvão; 23; 14; 12; 13; 20; 16; 11; 17; 24; 16; 14; 12 
4;018a. Praça da Bandeira; 8; 8; 2; 11; 6; 4; 12; 6; 10; 13; 5; 5 
6;019a. Tijuca; 3; 1; - ; 3; - ; 1; 2; 3; 4; 3; 1; 6 
6;020a. Grajaú; 3; 2; 4; 1; 2; - ; 3; 1; 2; 4; 2; 1 
22;021a. Bonsucesso; 45; 27; 25; 15; 40; 28; 19; 44; 28; 36; 25; 50 
16;022a. Penha; 13; 7; 17; 10; 21; 9; 13; 5; 4; 8; 25; 18 
3;023a. Meier; 3; 6; 6; 8; 6; 2; 4; 5; 2; 3; 3; 4 
3;024a. Piedade; 4; 4; 7; 5; 1; - ; 3; - ; 7; 2; - ; 5 
3;025a. Engenho novo; 11; 7; 11; 6; 4; 7; 13; 4; 4; 8; 6; 12 
3;026a. Todos os Santos; 2; - ; 2; 6; 1; 2; 5; 2; 4; 5; 3; 1 
41;027a. Vicente de Carvalho; 28; 16; 10; 4; 10; 6; 5; 9; 16; 21; 10; 9 
9;028a. Campinho; 4; 6; 14; 15; 6; 10; 7; 10; 7; 17; 9; 9 
9;029a. Madureira; 45; 24; 27; 17; 20; 26; 12; 18; 26; 10; 12; 19 
9;030a. marechal Hermes; 8; 10; 2; 8; 10; 11; 6; 3; 3; 1; 1; 6 
41;031a. Ricardo Albuquerque; 10; 5; 8; 10; 21; 13; 19; 24; 20; 14; 32; 42 
18;032a. Taquara; 33; 8; 21; 15; 18; 17; 15; 14; 29; 14; 7; 11 
14;033a. Realengo; 5; 9; 11; 24; 10; 3; 12; 9; 7; 12; 9; 11 
14;034a. Bangu; 11; 15; 10; 16; 11; 14; 17; 22; 25; 25; 9; 20 
40;035a. Campo Grande; 10; 12; 13; 15; 7; 15; 7; 7; 9; 16; 12; 11 
27;036a. Santa Cruz; 5; 5; 8; 5; 10; 10; 9; 4; 10; 6; 7; 4 
17;037a. Ilha do Governador; 8; 2; 9; 10; 8; 3; 5; 4; 3; 1; 8; 5 
16;038a. Braz de Pina; 13; 7; 16; 17; 10; 9; 10; 11; 12; 6; 13; 11 
41;039a. Pavuna; 51; 28; 16; 23; 20; 29; 26; 12; 33; 30; 22; 18 
9;040a. Honório Gurgel; 33; 21; 14; 6; 9; 7; 9; 8; 17; 18; 9; 9 
18;041a. Tanque; 7; 3; 1; 3; 6; 2; 1; 2; 1; 1; - ; 2 
31;042a. Recreio; 4; 4; 6; 2; 1; 1; 5; 7; 3; 2; 3; 5 
27;043a. Pedra de Guaratiba; 2; - ; 3; 1; 3; 2; 1; - ; 3; - ; - ; -   
3;044a. Inhaúma; 20; 13; 12; 6; 10; 2; 3; 10; 10; 8; 7; 14 
16;045a. Alemão; 1; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
24;048a. Seropédica; - ; - ; - ; - ; - ; - ; 1; - ; - ; 2; 1; 1 
24;050a. Itaguaí; 4; - ; - ; - ; 6; 4; 2; 2; 7; 3; 11; 5 
24;051a. Paracambí; - ; - ; - ; - ; - ; - ; 1; 2; - ; - ; - ; 1 
20;052a. nova Iguaçu; 7; 9; 13; 14; 11; 16; 22; 18; 19; 16; 18; 13 
20;053a. Mesquita; 25; 9; 10; 19; 9; 19; 19; 23; 22; 14; 26; 15 
39;054a. Belford Roxo; 5; 13; 13; 17; 14; 15; 13; 17; 26; 19; 12; 11 
24;055a. Queimados; 9; 10; 2; 3; 8; 2; - ; 1; 3; 9; 2; 3 
20;056a. Comendador Soares; 16; 14; 7; 11; 8; 12; 11; 1; 7; 18; 20; 17 
20;057a. Nilópolis; 3; - ; 2; 4; 4; 6; 8; 2; 4; 2; 6; 5 
20;058a. Posse; 5; 7; 4; 7; 3; 10; 10; 12; 8; 21; 11; 13 
15;059a. Duque de Caxias; 17; 14; 18; 10; 14; 27; 25; 52; 68; 55; 55; 47 
15;060a. Campos Elíseos; 6; 7; 4; 9; 12; 6; 12; 18; 21; 16; 17; 8 
15;061a. Xerém; - ; 1; - ; - ; 3; 1; 1; - ; 2; 2; - ; 5 
15;062a. Imbariê; 6; 9; 12; 19; 11; 2; 12; 7; 7; 3; 5; 12 
24;063a. Japerí; - ; 1; 1; 1; - ; 5; - ; 1; 1; 9; 6; 3 
21;064a. Vilar dos Teles; 10; 19; 36; 48; 26; 46; 59; 40; 64; 54; 17; 30 
34;065a. Magé; 2; 1; 1; - ; 3; 2; 2; 4; 1; 2; 5; 6 
34;066a. Piabetá; 1; 1; 2; 1; 2; 1; 1; - ; 1; - ; - ; 4 
34;067a. Guapimirim; 2; - ; - ; 1; 1; - ; - ; - ; - ; 3; - ; 1 
35;070a. Tanguá; - ; - ; - ; 1; - ; 1; - ; - ; 1; - ; - ; 2 
35;071a. Itaboraí; 7; 1; 6; 18; 15; 7; 7; 8; 6; 9; 15; 14 
7;072a. São Gonçalo; 11; 7; 1; 8; 13; 11; 6; 15; 12; 14; 25; 8 
7;073a. Neves; 6; 3; 10; 8; 17; 12; 12; 4; 10; 14; 8; 9 
7;074a. Alcantara; 11; 12; 20; 33; 41; 21; 28; 16; 21; 21; 22; 31 
7;075a. Rio do Ouro; 9; 5; 3; 3; 7; 8; 5; 5; 3; 3; 2; -   
12;076a. Niterói - Centro; 7; 10; 4; 2; 12; 4; 7; 6; 1; 5; 6; 7 
12;077a. Icaraí; 5; 2; - ; 2; 5; 3; - ; 2; 3; 1; 2; 1 
12;078a. Fonseca; 13; 11; 6; 12; 7; 11; 7; 8; 3; 4; 6; 8 
12;079a. Jurujuba; 2; - ; 2; 1; 2; 1; 4; 2; 1; 3; - ; -   
12;081a. Itaipú; 1; - ; - ; 1; 1; 1; 1; 1; - ; - ; 2; -   
12;082a. maricá; 1; 2; 3; - ; - ; - ; 2; - ; - ; - ; - ; 1 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
37;089a. Resende; - ; - ; 1; - ; 1; 1; 1; - ; - ; - ; 1; -   
28;090a. Barra Mansa; - ; 3; 3; - ; 1; - ; - ; - ; 1; 1; - ; -   
10;091a. Valença; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;092a. Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a. Volta Redonda; - ; - ; - ; 1; - ; - ; 1; 1; - ; - ; 1; 1 
10;094a. Piraí; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
10;095a. Vassouras; 1; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
10;096a. Miguel Pereira; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;097a. Mendes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
37;099a. Itatiaia; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
