AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 660; 931; 589; 607; 633; 643; 606; 534; 484; 529; 469; 494 
5;004a. Praça da República; 797; 938; 933; 852; 972; 924; 901; 879; 977; 933; 921; 851 
5;005a. Mem de Sá; 1357; 2123; 1017; 1004; 1161; 1114; 1058; 1183; 1128; 1353; 1038; 1104 
4;006a. Cidade nova; 519; 585; 419; 434; 442; 461; 505; 546; 459; 546; 538; 457 
5;007a. Santa Tereza; 158; 386; 208; 175; 186; 157; 184; 196; 207; 223; 212; 179 
2;009a. Catete; 640; 816; 703; 647; 692; 639; 811; 764; 763; 763; 774; 748 
2;010a. Botafogo; 729; 697; 655; 648; 720; 728; 666; 655; 686; 697; 676; 689 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 107 
19;012a. Copacabana; 1648; 910; 902; 748; 790; 804; 1735; 812; 812; 848; 785; 977 
19;013a. Ipanema; 458; 538; 431; 479; 415; 456; 499; 482; 491; 468; 458; 511 
23;014a. Leblon; 768; 1617; 746; 654; 711; 646; 694; 672; 760; 658; 739; 693 
23;015a. Gávea; 527; 562; 523; 492; 514; 439; 467; 480; 500; 555; 481; 464 
31;016a. Barra da Tijuca; 1162; 1045; 1091; 1085; 1091; 1084; 1186; 1230; 1302; 1205; 1145; 1136 
4;017a. São Cristóvão; 603; 634; 740; 715; 771; 681; 669; 761; 721; 828; 758; 762 
4;018a. Praça da Bandeira; 442; 401; 474; 471; 482; 565; 512; 545; 537; 548; 582; 436 
6;019a. Tijuca; 599; 602; 633; 719; 698; 696; 694; 733; 700; 689; 692; 733 
6;020a. Grajaú; 720; 728; 815; 837; 978; 961; 996; 928; 918; 698; 576; 581 
22;021a. Bonsucesso; 987; 1030; 1095; 1146; 1167; 1100; 1121; 1176; 1175; 1472; 1405; 1237 
16;022a. Penha; 921; 889; 972; 900; 993; 850; 925; 933; 946; 1034; 876; 941 
3;023a. Meier; 741; 705; 724; 736; 808; 683; 731; 725; 714; 705; 710; 730 
3;024a. Piedade; 407; 414; 434; 406; 451; 441; 450; 429; 481; 498; 487; 441 
3;025a. Engenho novo; 556; 566; 706; 650; 588; 599; 589; 561; 560; 755; 811; 706 
3;026a. Todos os Santos; 447; 406; 483; 472; 509; 470; 427; 472; 410; 496; 436; 454 
41;027a. Vicente de Carvalho; 814; 801; 763; 728; 767; 728; 743; 855; 925; 904; 706; 751 
9;028a. Campinho; 617; 580; 709; 712; 772; 670; 673; 723; 688; 801; 689; 714 
9;029a. Madureira; 677; 682; 736; 716; 812; 731; 692; 787; 736; 878; 743; 874 
9;030a. marechal Hermes; 435; 439; 529; 494; 479; 579; 565; 527; 534; 646; 621; 679 
41;031a. Ricardo Albuquerque; 505; 508; 532; 550; 630; 577; 541; 566; 566; 559; 591; 694 
18;032a. Taquara; 1322; 1304; 1407; 1376; 1468; 1412; 1347; 1411; 1393; 1560; 1429; 1491 
14;033a. Realengo; 922; 856; 886; 949; 1007; 909; 907; 984; 966; 1020; 1038; 998 
14;034a. Bangu; 1373; 1433; 1556; 1487; 1444; 1466; 1481; 1433; 1503; 1653; 1497; 1637 
40;035a. Campo Grande; 1773; 1883; 1943; 1985; 1942; 1954; 1814; 2010; 1815; 1923; 1759; 1870 
27;036a. Santa Cruz; 822; 907; 965; 1021; 891; 956; 1002; 971; 940; 1000; 938; 1030 
17;037a. Ilha do Governador; 821; 778; 846; 865; 836; 868; 807; 850; 844; 861; 799; 898 
16;038a. Braz de Pina; 739; 654; 781; 754; 724; 687; 744; 786; 784; 828; 729; 739 
41;039a. Pavuna; 674; 694; 759; 826; 729; 763; 710; 782; 776; 904; 787; 869 
9;040a. Honório Gurgel; 442; 462; 496; 520; 507; 474; 518; 503; 544; 550; 514; 565 
18;041a. Tanque; 475; 521; 542; 527; 537; 531; 532; 558; 496; 581; 527; 549 
31;042a. Recreio; 769; 792; 765; 764; 774; 712; 751; 808; 2244; 748; 864; 803 
27;043a. Pedra de Guaratiba; 384; 420; 447; 466; 444; 420; 443; 415; 458; 476; 457; 461 
3;044a. Inhaúma; 390; 400; 469; 457; 460; 405; 423; 475; 483; 507; 445; 463 
16;045a. Alemão; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13 
24;048a. Seropédica; 177; 240; 229; 219; 241; 245; 242; 195; 204; 208; 221; 228 
24;050a. Itaguaí; 448; 474; 454; 523; 467; 437; 527; 387; 432; 464; 355; 397 
24;051a. Paracambí; 91; 98; 112; 121; 128; 94; 101; 115; 93; 126; 150; 102 
20;052a. nova Iguaçu; 890; 817; 936; 1041; 992; 930; 1058; 1040; 937; 988; 920; 943 
20;053a. Mesquita; 619; 640; 680; 644; 643; 629; 615; 646; 593; 667; 645; 607 
39;054a. Belford Roxo; 1062; 1142; 1225; 1126; 1071; 1206; 1196; 1091; 1084; 1219; 1194; 1208 
24;055a. Queimados; 421; 445; 472; 449; 440; 418; 407; 436; 464; 488; 435; 458 
20;056a. Comendador Soares; 646; 686; 775; 747; 769; 675; 675; 745; 785; 800; 741; 846 
20;057a. Nilópolis; 706; 648; 752; 713; 764; 685; 755; 717; 721; 707; 663; 760 
20;058a. Posse; 868; 970; 1066; 998; 1074; 1034; 1097; 1093; 1098; 1129; 1064; 1033 
15;059a. Duque de Caxias; 2215; 2066; 2358; 2238; 2177; 1996; 2132; 2085; 1989; 2118; 1895; 2006 
15;060a. Campos Elíseos; 812; 874; 808; 944; 801; 840; 764; 863; 865; 934; 906; 880 
15;061a. Xerém; 162; 115; 153; 121; 131; 112; 122; 133; 108; 116; 131; 121 
15;062a. Imbariê; 405; 481; 424; 429; 493; 503; 449; 464; 507; 502; 507; 531 
24;063a. Japerí; 223; 203; 213; 209; 238; 245; 232; 241; 259; 254; 235; 256 
21;064a. Vilar dos Teles; 1539; 1507; 1624; 1607; 1604; 1701; 1607; 1708; 1660; 1676; 1575; 1618 
34;065a. Magé; 271; 256; 283; 305; 281; 345; 291; 266; 302; 318; 246; 298 
34;066a. Piabetá; 415; 411; 387; 442; 391; 448; 355; 407; 421; 388; 384; 406 
34;067a. Guapimirim; 96; 120; 128; 118; 122; 134; 137; 136; 111; 143; 150; 103 
35;070a. Tanguá; 91; 109; 80; 73; 92; 80; 52; 71; 90; 123; 78; 90 
35;071a. Itaboraí; 627; 600; 679; 687; 733; 629; 800; 706; 726; 712; 733; 703 
7;072a. São Gonçalo; 983; 891; 925; 935; 916; 1002; 1075; 1124; 1020; 1065; 1087; 1186 
7;073a. Neves; 727; 652; 779; 738; 852; 747; 778; 806; 743; 873; 774; 841 
7;074a. Alcantara; 1217; 1107; 1340; 1333; 1350; 1290; 1275; 1228; 1118; 1229; 1226; 1307 
7;075a. Rio do Ouro; 444; 426; 463; 448; 578; 478; 467; 488; 474; 527; 500; 579 
12;076a. Niterói - Centro; 621; 679; 741; 674; 769; 790; 731; 733; 654; 774; 756; 720 
12;077a. Icaraí; 516; 530; 608; 557; 562; 463; 532; 480; 547; 558; 512; 484 
12;078a. Fonseca; 440; 454; 524; 525; 573; 538; 582; 584; 514; 548; 472; 500 
12;079a. Jurujuba; 255; 281; 265; 285; 268; 221; 308; 295; 300; 282; 286; 279 
12;081a. Itaipú; 375; 398; 399; 373; 326; 339; 406; 389; 394; 363; 380; 402 
12;082a. maricá; 472; 531; 498; 488; 498; 496; 517; 525; 477; 523; 552; 577 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; 169; 172; 180; 208; 204; 208; 215; 193; 236; 236; 240; 255 
37;089a. Resende; 471; 463; 464; 446; 490; 541; 489; 492; 468; 549; 477; 457 
28;090a. Barra Mansa; 433; 437; 493; 472; 472; 477; 453; 424; 422; 441; 481; 441 
10;091a. Valença; 165; 149; 155; 165; 158; 156; 149; 116; 124; 120; 123; 162 
10;092a. Rio das Flores; 21; 36; 26; 30; 25; 18; 16; 18; 27; 27; 22; 15 
28;093a. Volta Redonda; 661; 642; 780; 714; 759; 762; 637; 757; 705; 748; 700; 708 
10;094a. Piraí; 86; 86; 114; 93; 108; 85; 97; 99; 94; 105; 66; 94 
10;095a. Vassouras; 66; 89; 72; 82; 80; 62; 67; 90; 76; 138; 95; 93 
10;096a. Miguel Pereira; 94; 103; 99; 89; 119; 114; 126; 98; 119; 118; 115; 137 
10;097a. Mendes; 45; 54; 48; 53; 33; 41; 36; 44; 45; 53; 36; 48 
10;098a. Paulo de Frontin; 29; 73; 58; 36; 38; 29; 42; 45; 39; 32; 29; 51 
