AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;62;58;159;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;168;85;180;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;193;178;428;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;146;130;236;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;84;88;126;.;.;.;.;.;.;.;.;.
2;009a. Catete;105;111;273;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;92;116;198;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;1;2;9;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;132;64;172;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;49;42;82;.;.;.;.;.;.;.;.;.
23;014a. Leblon;95;78;318;.;.;.;.;.;.;.;.;.
23;015a. Gávea;25;35;66;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;132;124;342;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;172;189;314;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;176;187;302;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;184;154;200;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;158;175;335;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;287;275;595;.;.;.;.;.;.;.;.;.
16;022a. Penha;190;148;237;.;.;.;.;.;.;.;.;.
3;023a. Meier;159;106;305;.;.;.;.;.;.;.;.;.
3;024a. Piedade;113;68;178;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;227;219;500;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;148;111;299;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;297;168;368;.;.;.;.;.;.;.;.;.
9;028a. Campinho;246;222;361;.;.;.;.;.;.;.;.;.
9;029a. Madureira;340;257;665;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;163;86;214;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;409;226;343;.;.;.;.;.;.;.;.;.
18;032a. Taquara;131;66;541;.;.;.;.;.;.;.;.;.
14;033a. Realengo;258;139;359;.;.;.;.;.;.;.;.;.
14;034a. Bangu;440;260;485;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;319;211;393;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;110;69;161;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;94;90;87;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;244;161;300;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;347;201;490;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;401;286;681;.;.;.;.;.;.;.;.;.
18;041a. Tanque;63;45;191;.;.;.;.;.;.;.;.;.
31;042a. Recreio;80;76;182;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;43;23;48;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;157;96;268;.;.;.;.;.;.;.;.;.
16;045a. Alemão;8;3;2;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;39;22;47;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;96;67;86;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;11;5;16;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;311;237;305;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;231;132;271;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;371;233;256;.;.;.;.;.;.;.;.;.
24;055a. Queimados;97;45;107;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;225;128;438;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;322;152;223;.;.;.;.;.;.;.;.;.
20;058a. Posse;332;160;317;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;688;310;443;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;262;143;245;.;.;.;.;.;.;.;.;.
15;061a. Xerém;38;16;15;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;167;76;111;.;.;.;.;.;.;.;.;.
24;063a. Japerí;62;43;57;.;.;.;.;.;.;.;.;.
