AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 9; 20; 16; 13; 19; 23; 19; 15; 8; 24; 16; 16 
5;004a. Praça da República; 44; 55; 52; 66; 55; 117; 47; 58; 69; 63; 34; 42 
5;005a. Mem de Sá; 55; 67; 57; 48; 56; 63; 49; 63; 60; 135; 67; 55 
4;006a. Cidade nova; 57; 68; 47; 40; 60; 56; 38; 61; 47; 53; 49; 50 
5;007a. Santa Tereza; 18; 23; 34; 16; 15; 9; 19; 12; 10; 11; 18; 17 
2;009a. Catete; 22; 37; 36; 26; 39; 39; 52; 65; 52; 45; 34; 43 
2;010a. Botafogo; 47; 54; 36; 46; 29; 45; 32; 34; 22; 28; 51; 36 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 28 
19;012a. Copacabana; 52; 64; 61; 64; 65; 54; 71; 35; 59; 38; 64; 77 
19;013a. Ipanema; 33; 30; 22; 27; 30; 43; 38; 25; 32; 29; 13; 28 
23;014a. Leblon; 29; 44; 28; 28; 29; 26; 34; 24; 25; 24; 31; 41 
23;015a. Gávea; 79; 87; 67; 64; 59; 53; 43; 49; 60; 63; 52; 64 
31;016a. Barra da Tijuca; 57; 58; 90; 70; 57; 67; 61; 54; 82; 65; 61; 66 
4;017a. São Cristóvão; 44; 69; 79; 83; 85; 79; 55; 76; 62; 70; 95; 85 
4;018a. Praça da Bandeira; 24; 34; 38; 12; 27; 46; 22; 23; 28; 26; 26; 21 
6;019a. Tijuca; 45; 65; 58; 57; 61; 72; 59; 54; 55; 46; 57; 62 
6;020a. Grajaú; 45; 58; 69; 39; 61; 70; 71; 57; 51; 76; 71; 71 
22;021a. Bonsucesso; 87; 137; 134; 115; 106; 124; 65; 104; 122; 106; 112; 103 
16;022a. Penha; 91; 84; 94; 87; 113; 91; 101; 107; 82; 91; 101; 112 
3;023a. Meier; 29; 37; 45; 28; 39; 31; 30; 35; 39; 33; 36; 40 
3;024a. Piedade; 26; 34; 44; 41; 45; 32; 46; 31; 57; 40; 65; 62 
3;025a. Engenho novo; 47; 76; 79; 65; 71; 56; 53; 58; 52; 63; 78; 61 
3;026a. Todos os Santos; 37; 46; 34; 48; 43; 53; 39; 38; 26; 50; 43; 56 
41;027a. Vicente de Carvalho; 53; 64; 65; 58; 59; 50; 52; 46; 53; 56; 49; 56 
9;028a. Campinho; 68; 66; 106; 68; 90; 84; 62; 79; 80; 74; 80; 93 
9;029a. Madureira; 46; 63; 74; 61; 82; 62; 48; 50; 56; 69; 66; 70 
9;030a. marechal Hermes; 65; 79; 87; 69; 46; 85; 91; 43; 78; 84; 71; 88 
