AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
7;073a- Neves; 72; 44; 50; 54; 41; 22; 34; 16; 30; 39; 50; 40 
7;074a- Alcantara; 98; 47; 87; 79; 70; 61; 46; 35; 36; 42; 82; 65 
7;075a- Rio do Ouro; 21; 29; 12; 4; 3; 8; 6; 12; 10; 12; 16; 21 
12;076a- Niterói - Centro; 14; 13; 10; 18; 18; 20; 10; 20; 20; 22; 8; 28 
12;077a- Icaraí; 19; 14; 34; 29; 9; 11; 14; 14; 40; 14; 16; 7 
12;078a- Fonseca; 28; 41; 18; 29; 11; 19; 17; 10; 18; 24; 15; 11 
12;079a- Jurujuba; 8; 7; 2; 14; 2; 8; 2; 29; 18; 6; 10; 2 
12;081a- Itaipú; 19; 18; 18; - ; 7; 18; 12; 14; 16; 10; 8; 16 
12;082a- maricá; 10; 6; 6; 6; 6; 2; 4; 14; 6; 30; 6; 2 
10;087a- Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a- Barra do Piraí; 11; 5; 7; 17; 5; 9; 16; 6; 6; 7; 4; 11 
37;089a- Resende; 12; 15; 25; 12; 10; 14; 18; 23; 33; 13; 12; 16 
28;090a- Barra Mansa; 7; 17; 16; 18; 14; 11; 4; 24; 6; 20; 20; 15 
10;091a- Valença; 8; - ; 10; - ; 4; 2; - ; 8; 2; 8; 4; 2 
10;092a- Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a- Volta Redonda; 27; 50; 34; 45; 21; 21; 24; 35; 24; 42; 16; 18 
10;094a- Piraí; - ; - ; 4; 2; 2; 2; 2; - ; - ; 2; - ; 2 
10;095a- Vassouras; - ; 3; - ; - ; 1; - ; 1; - ; - ; 2; 2; 2 
10;096a- Miguel Pereira; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;097a- Mendes; - ; - ; - ; 5; - ; - ; 4; - ; 2; - ; - ; -   
10;098a- Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
37;099a- Itatiaia; 3; 2; 11; 5; 2; 4; 2; - ; 4; 10; 6; 16 
37;100a- Porto Real; 4; 11; 4; 2; 6; 1; 12; - ; 4; 6; 10; -   
28;101a- Pinheiral; - ; - ; - ; 4; - ; - ; 3; 2; - ; - ; - ; -   
30;104a- São J- Rio Preto; 2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
26;105a- Petrópolis; 27; 30; 21; 48; 24; 24; 15; 16; 10; 24; 14; 11 
26;106a- Itaipava; - ; 6; 6; 2; - ; 2; - ; 2; - ; 2; - ; -   
38;107a- Paraíba do Sul; 12; - ; - ; - ; - ; - ; 1; 7; 8; 5; - ; 2 
38;108a- Três Rios; 8; 10; 4; 16; 1; 3; 7; 2; 2; 8; 6; 4 
38;109a- Sapucaia; - ; - ; - ; - ; - ; - ; 1; 2; - ; - ; - ; -   
30;110a- Teresópolis; 11; 21; 36; 17; 10; 10; 16; 11; 20; 22; 28; 12 
30;111a- Sumidouro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;112a- Carmo; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;118a- Araruama; 12; 14; 7; 13; 7; 14; - ; 12; 6; 2; - ; 6 
35;119a- Rio Bonito; - ; 2; 2; - ; - ; 7; 4; 6; 1; 6; 6; 6 
35;120a- Silva Jardim; - ; 4; - ; 1; - ; - ; 1; 2; - ; 6; - ; 2 
32;121a- Casimiro de abreu; 6; 3; - ; 8; - ; 6; 4; 8; - ; 2; 7; -   
32;122a- Conceição de Macabú; 6; 9; 3; - ; 6; 4; - ; 4; - ; 6; 2; -   
32;123a- Macaé; 38; 50; 21; 22; 26; 25; 14; 30; 28; 16; 8; 20 
25;124a- Saquarema; 12; 2; 2; 6; 3; 4; 4; 2; 4; 2; 2; -   
25;125a- São Pedro da Aldeia; 22; 17; 8; 11; 2; 11; 3; 14; 10; 10; 16; 6 
25;126a- Cabo Frio; 94; 56; 37; 68; 68; 69; 56; 41; 30; 44; 40; 28 
25;127a- Búzios; 13; 13; - ; 5; 4; 3; 3; - ; - ; - ; - ; 6 
32;128a- Rio das Ostras; 34; 30; 34; 18; 20; 18; 35; 33; 14; 34; 23; 20 
25;129a- Iguaba; - ; - ; - ; 2; 2; 2; - ; 4; - ; - ; - ; -   
32;130a- Quissamã; 6; 6; 4; 4; 2; - ; 5; 10; - ; 3; - ; 4 
