AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; 3; 5; 5; 9; 3; 5; 9; 7; 1; 6; 2 
5;004a. Praça da República; 12; 5; 10; 8; 16; 14; 9; 14; 22; 17; 8; 8 
5;005a. Mem de Sá; 5; 4; 3; 1; 6; 6; 3; 9; 7; 7; 5; 1 
4;006a. Cidade nova; 6; 6; 10; 6; 4; 5; 5; 14; 8; 12; 10; 11 
5;007a. Santa Tereza; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; -   
2;009a. Catete; 4; 1; 2; 1; 3; 6; 5; 4; 7; 6; 8; 4 
2;010a. Botafogo; 5; 5; 5; 6; 11; 5; 6; 9; 13; 8; 4; 4 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; 4; 3; 3; 2; 9; 2; 3; 3; 12; 5; 6; 3 
19;013a. Ipanema; 3; 1; 3; 1; 7; 4; 2; 2; 8; 1; 2; 2 
23;014a. Leblon; 6; - ; 1; 1; 4; 3; - ; 6; 3; 3; 2; 3 
23;015a. Gávea; 4; 6; 6; 3; 2; 3; 4; 2; 10; 6; 5; 10 
31;016a. Barra da Tijuca; 2; 1; 8; 16; 7; 25; 15; 25; 15; 20; 35; 18 
4;017a. São Cristóvão; 14; 13; 13; 11; 21; 11; 26; 26; 34; 31; 24; 21 
4;018a. Praça da Bandeira; 7; 2; 10; 10; 9; 9; 5; 7; 9; 8; 16; 5 
6;019a. Tijuca; 2; 3; 2; 2; 1; 4; 5; 4; 4; - ; 2; 3 
6;020a. Grajaú; 3; 1; 3; 3; 5; 6; 5; 2; 2; 3; - ; 1 
22;021a. Bonsucesso; 9; 38; 29; 17; 19; 13; 19; 27; 35; 40; 21; 28 
16;022a. Penha; 6; 11; 7; 6; 12; 4; 6; 11; 12; 8; 12; 17 
3;023a. Meier; 6; - ; 3; 3; 3; 1; 1; 2; 2; 1; 6; 2 
3;024a. Piedade; 2; 3; 2; 2; 2; - ; - ; 1; 2; 6; 3; 2 
3;025a. Engenho novo; 8; 6; 8; 3; 4; 7; 3; 1; 6; 4; 8; 9 
3;026a. Todos os Santos; - ; 8; 2; 2; 3; 3; 5; 1; - ; 4; 4; 3 
41;027a. Vicente de Carvalho; 4; 7; 8; 9; 3; 4; 6; 16; 7; 11; 11; 3 
9;028a. Campinho; 3; 6; 5; 2; 5; 7; 10; 3; 11; 16; 1; 4 
9;029a. Madureira; 8; 13; 14; 15; 20; 14; 12; 15; 16; 14; 12; 11 
9;030a. marechal Hermes; 3; 3; 1; 6; 8; 8; 7; 6; 8; 6; 4; 6 
41;031a. Ricardo Albuquerque; 2; 2; 2; 4; 13; 3; 8; 9; 7; 5; 4; 8 
18;032a. Taquara; 3; 12; 12; 8; 18; 14; 20; 21; 16; 46; 42; 41 
14;033a. Realengo; 4; 8; 4; 6; 5; 4; 9; 4; 10; 12; 9; 11 
14;034a. Bangu; 12; 15; 9; 8; 10; 12; 14; 23; 16; 15; 8; 8 
40;035a. Campo Grande; 8; 12; 5; 7; 5; 9; 9; 7; 9; 14; 9; 6 
27;036a. Santa Cruz; 7; 6; 12; 11; 5; 9; 3; 5; 6; 3; 2; 9 
17;037a. Ilha do Governador; 7; 7; 10; 6; 5; 3; 8; 12; 4; 6; 4; 4 
16;038a. Braz de Pina; 2; 2; 7; 6; 7; 2; 11; 12; 17; 6; 4; 8 
