AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; - ; 1; - ; - ; 1; - ; - ; 1; -   
5;004a. Praça da República; - ; - ; - ; 1; 1; - ; - ; - ; 1; 1; 1; -   
5;005a. Mem de Sá; 1; - ; 1; 3; 1; 1; - ; - ; 1; 1; 1; 2 
4;006a. Cidade nova; - ; - ; - ; - ; - ; - ; - ; - ; - ; 3; - ; -   
5;007a. Santa Tereza; - ; 4; 1; 1; 2; 1; 2; - ; - ; 3; - ; 1 
2;009a. Catete; - ; 1; - ; - ; - ; - ; 1; - ; 1; 2; 2; 1 
2;010a. Botafogo; - ; - ; - ; 2; - ; - ; - ; - ; - ; - ; 1; 2 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; - ; - ; - ; - ; 1; 1; 1; - ; 1; 1; - ; 1 
19;013a. Ipanema; - ; - ; - ; - ; - ; - ; - ; 2; - ; 1; 1; -   
23;014a. Leblon; 1; - ; 1; 1; - ; - ; 1; 2; - ; - ; - ; 2 
23;015a. Gávea; - ; 1; - ; 1; 1; - ; 2; 2; 1; - ; 1; 1 
31;016a. Barra da Tijuca; 2; - ; 2; - ; - ; 2; - ; - ; - ; 1; 2; 1 
4;017a. São Cristóvão; - ; - ; - ; - ; - ; - ; 1; 1; - ; - ; - ; -   
4;018a. Praça da Bandeira; 1; - ; - ; - ; - ; 1; - ; 1; - ; - ; - ; -   
6;019a. Tijuca; 1; 1; - ; 1; 3; 1; - ; - ; - ; 2; 2; -   
6;020a. Grajaú; 3; - ; - ; - ; - ; 1; 1; - ; - ; 3; 1; -   
22;021a. Bonsucesso; 1; - ; - ; - ; - ; 1; 2; 2; 2; - ; 1; -   
16;022a. Penha; - ; 1; 3; 1; 1; - ; - ; - ; - ; - ; - ; 2 
3;023a. Meier; - ; - ; 1; 3; 2; 1; - ; 1; - ; - ; - ; -   
3;024a. Piedade; - ; 1; - ; 1; 1; - ; - ; 3; 1; 1; 1; 2 
3;025a. Engenho novo; 1; 3; 5; 2; 1; - ; - ; - ; 3; 3; - ; 5 
3;026a. Todos os Santos; 2; 1; 2; 2; - ; 3; - ; 1; 1; 1; - ; 1 
41;027a. Vicente de Carvalho; 1; 1; 1; 1; 3; - ; 1; 2; 1; 1; 1; 4 
9;028a. Campinho; 1; 1; 2; 1; - ; - ; - ; - ; - ; 1; 5; 4 
9;029a. Madureira; - ; - ; 1; - ; - ; - ; - ; - ; - ; 1; - ; 1 
9;030a. marechal Hermes; - ; 1; 2; 3; 1; 2; - ; 1; 1; - ; 1; 1 
41;031a. Ricardo Albuquerque; 3; 4; 2; 1; - ; 2; - ; 1; - ; - ; 1; 3 
18;032a. Taquara; 2; 6; 3; - ; 3; 2; 1; 1; 1; 2; 4; 3 
14;033a. Realengo; 2; 3; 5; - ; - ; 2; 4; 2; - ; 2; 2; -   
14;034a. Bangu; 3; 2; 3; - ; 2; 5; 2; 4; 2; 1; 3; 2 
40;035a. Campo Grande; - ; - ; 3; 5; 1; 1; 4; 4; 1; 3; 1; 5 
27;036a. Santa Cruz; 1; - ; 1; - ; 2; - ; - ; - ; 1; 2; 1; 2 
17;037a. Ilha do Governador; 1; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
16;038a. Braz de Pina; - ; 2; - ; - ; - ; 1; - ; 1; - ; 1; 3; 2 
41;039a. Pavuna; 1; - ; - ; 2; - ; 1; 1; 1; 1; 1; - ; -   
9;040a. Honório Gurgel; 1; - ; 2; - ; - ; 1; 1; - ; - ; 1; 2; 2 
18;041a. Tanque; 3; 2; 1; - ; - ; 1; - ; 1; 1; - ; - ; -   
31;042a. Recreio; 4; - ; 2; 1; 3; 1; 1; 1; 1; 2; 1; 1 
40;043a. Pedra de Guaratiba; - ; 1; - ; 1; - ; - ; 1; - ; - ; - ; 1; 1 
3;044a. Inhaúma; 1; - ; 1; - ; 1; 2; - ; - ; - ; 1; 3; -   
16;045a. Alemão; - ; - ; - ; - ; - ; 1; 1; - ; - ; - ; - ; -   
24;048a. Seropédica; 1; 2; 4; - ; 3; - ; - ; 1; 1; - ; - ; 2 
27;050a. Itaguaí; 3; 1; 2; 2; 2; 4; 2; - ; 1; 1; 1; 4 
24;051a. Paracambí; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; 1; -   
20;052a. nova Iguaçu; 2; - ; 1; 1; - ; 1; 1; - ; 1; 2; 1; 1 
20;053a. Mesquita; - ; - ; 1; 2; - ; - ; - ; - ; 1; 1; - ; 1 
39;054a. Belford Roxo; 2; 3; 2; 1; - ; 1; - ; 4; 4; 5; - ; -   
24;055a. Queimados; - ; 2; 1; 2; 1; 2; - ; 4; 1; - ; - ; -   
20;056a. Comendador Soares; 2; 1; 1; 2; - ; 1; 2; 2; - ; 2; 4; 2 
20;057a. Nilópolis; 2; - ; - ; - ; 1; - ; - ; 2; 1; - ; - ; 1 
20;058a. Posse; 4; 2; 2; - ; 2; 3; - ; 2; - ; 1; 3; 1 
15;059a. Duque de Caxias; 1; 1; 1; 4; - ; - ; - ; - ; 2; - ; - ; -   
15;060a. Campos Elíseos; - ; - ; 2; 1; 1; - ; 3; 1; 1; 3; 1; -   
15;061a. Xerém; - ; - ; 1; - ; - ; - ; - ; - ; - ; 1; - ; -   
15;062a. Imbariê; 1; 1; 1; - ; 1; - ; 1; - ; 1; 2; 3; 4 
24;063a. Japerí; 1; - ; 1; - ; 1; - ; 1; - ; 1; - ; - ; 2 
21;064a. Vilar dos Teles; 1; 3; 2; 4; - ; 12; 11; 6; 6; 8; 13; 6 
34;065a. Magé; - ; - ; - ; 1; - ; - ; - ; - ; - ; 1; 1; 1 
34;066a. Piabetá; 1; 2; - ; - ; - ; - ; - ; - ; 2; 1; 2; -   
34;067a. Guapimirim; 2; - ; 3; - ; - ; 1; - ; - ; - ; - ; - ; 1 
35;070a. Tanguá; 1; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; -   
35;071a. Itaboraí; 3; 1; 1; 1; 1; - ; - ; 1; 2; 2; 1; -   
7;072a. São Gonçalo; 1; 1; 1; 1; 1; 1; 1; 2; 1; 4; 2; 3 
7;073a. Neves; - ; - ; 1; 1; 2; 2; 3; - ; - ; - ; 4; 2 
7;074a. Alcantara; 2; 2; 3; 5; 10; 5; 9; 5; 2; 1; 7; 4 
7;075a. Rio do Ouro; 1; 1; 1; 2; 6; 3; 1; 3; 4; 1; 3; 8 
12;076a. Niterói - Centro; 1; - ; - ; - ; - ; - ; 1; - ; - ; 1; - ; -   
12;077a. Icaraí; 1; 1; 3; - ; 1; - ; - ; - ; - ; 1; - ; 1 
12;078a. Fonseca; - ; 1; 1; 1; 1; - ; - ; - ; 1; 1; 1; -   
12;079a. Jurujuba; 1; 1; 2; - ; 2; - ; - ; 1; - ; 2; 1; 3 
12;081a. Itaipú; - ; - ; 2; 1; - ; 1; 4; 2; 2; - ; 1; -   
12;082a. maricá; 2; 1; 1; 5; - ; 1; 1; 3; - ; - ; 1; -   
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; 1; -   
28;089a. Resende; 2; 2; - ; 2; - ; 1; 1; 1; 2; 3; 1; -   
28;090a. Barra Mansa; - ; 1; - ; 2; - ; - ; 2; 1; - ; 1; - ; 1 
10;091a. Valença; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
10;092a. Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a. Volta Redonda; 1; - ; - ; - ; - ; 2; 2; - ; - ; - ; - ; 1 
10;094a. Piraí; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;095a. Vassouras; 2; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; -   
10;096a. Miguel Pereira; 1; - ; - ; - ; - ; 1; - ; 1; - ; - ; - ; -   
10;097a. Mendes; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
